timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-458.31,69.84,0.0,nan,17.1,0.887
20000,-979.3,731.38,0.0,2.672,62.0,0.567
30000,-979.3,731.38,0.0,2.672,62.0,0.567
40000,-805.84,892.6,0.0,nan,39.87,0.625
50000,-1136.18,337.26,0.0,nan,42.75,0.774
60000,-1136.18,337.26,0.0,nan,42.75,0.774
70000,-1150.48,456.24,0.0,nan,44.18,0.795
80000,-1150.48,456.24,0.0,nan,44.18,0.795
90000,-539.62,373.41,0.0,nan,62.0,0.494
100000,-139.78,66.57,0.0,nan,62.0,0.799
110000,-139.78,66.57,0.0,nan,62.0,0.799
120000,-206.65,119.95,0.0,nan,62.0,0.725
130000,-206.65,119.95,0.0,nan,62.0,0.725
140000,-240.03,111.98,0.0,nan,62.0,0.77
150000,-28.78,52.87,0.0,2.582,62.0,0.804
160000,-28.78,52.87,0.0,2.582,62.0,0.804
170000,50.3,137.82,0.0,2.563,62.0,0.75
180000,50.3,137.82,0.0,2.563,62.0,0.75
190000,5.72,89.59,0.0,2.653,62.0,0.755
200000,107.7,60.9,0.0,2.71,62.0,0.762
210000,107.7,60.9,0.0,2.71,62.0,0.762
212992,178.82,166.68,0.3,2.524,56.85,0.751
