time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance
8,1,438.1515151515151,1890,16384,-471.9223673333334,,,,,,,,,,
21,2,458.6666666666667,1551,32768,-442.37924433333336,0.0003,-2.296085274219513,0.2,0.009826546,628.5695596694947,236.99102783203125,10,-0.0045920520013169154,0.07030029296875,0.0002987980842590332
33,3,456.45,1460,49152,-391.14640655999995,0.0003,-2.281101605296135,0.2,0.011294777,642.4051781654358,214.00328063964844,20,-0.005698565582133597,0.073101806640625,0.22500091791152954
51,4,466.41,1262,65536,-297.53317812999995,0.0003,-2.2672433361411093,0.2,0.0084774215,364.50836367607116,125.66239166259766,30,-0.004814646757586161,0.046697998046875,0.47875291109085083
69,5,464.89,1186,81920,-204.74908256999996,0.0003,-2.225507152825594,0.2,0.012207848,101.8139594912529,41.50202560424805,40,-0.008240204512549098,0.15064697265625,0.762965202331543
85,6,483.42,1147,98304,-145.00106726,0.0003,-2.2139257855713366,0.2,0.009671342,139.00224692821502,41.96147155761719,50,-0.00627927731256932,0.06629638671875,0.7773746252059937
103,7,490.35,1112,114688,-119.40748810999999,0.0003,-2.1942436143755915,0.2,0.008050683,111.39459080696106,52.293704986572266,60,-0.005196708429684805,0.046759033203125,0.8560836911201477
119,8,509.95,1096,131072,-75.14530423000001,0.0003,-2.1597202964127065,0.2,0.009363035,100.63329402208328,38.819766998291016,70,-0.007271983044120134,0.080865478515625,0.8564831614494324
131,9,529.64,1122,147456,-48.887078899999985,0.0003,-2.1556910052895546,0.2,0.010397702,75.61691604852676,40.47535705566406,80,-0.011272242398626986,0.111383056640625,0.9145491123199463
148,10,522.8,1105,163840,3.716692499999998,0.0003,-2.1676318146288396,0.2,0.009435078,73.96439009904861,40.94606018066406,90,-0.008152620017790468,0.079998779296875,0.9219646453857422
165,11,525.2,1087,180224,40.28638401,0.0003,-2.1368268661201,0.2,0.00716001,78.33888267278671,27.110904693603516,100,-0.00613685167299991,0.046929931640625,0.869104266166687
182,12,525.07,1075,196608,74.51847812,0.0003,-2.11319077834487,0.2,0.008793166,72.08091268539428,33.54396438598633,110,-0.006804832857960718,0.056768798828125,0.9013505578041077
205,13,530.9,1036,212992,97.13153372000002,0.0003,-2.080519562214613,0.2,0.00995868,74.05325082540512,33.22514343261719,120,-0.008062366973172174,0.09476318359375,0.9157437086105347
