rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_loss,train/value_loss,time/fps,time/total_timesteps,train/learning_rate,train/explained_variance,train/entropy_loss,train/n_updates
449.2916666666667,100,-759.3952277916666,18,-4.43366003036499,38.84334945678711,683,12800,0.0007,0.16580688953399658,-1.9391124248504639,99
481.0612244897959,200,-664.4731925102042,36,-10.750598907470703,213.00674438476562,703,25600,0.0007,-0.0948019027709961,-2.0832862854003906,199
492.1917808219178,300,-515.6409520958904,53,0.4095660448074341,3.0102808475494385,719,38400,0.0007,0.7697241306304932,-1.9632534980773926,299
485.04040404040404,400,-420.43563644444447,70,-1.1836755275726318,1.8446245193481445,722,51200,0.0007,0.9883184432983398,-1.8373273611068726,399
466.87,500,-196.05826305000005,87,0.0940413773059845,2.4437360763549805,728,64000,0.0007,0.5697622299194336,-1.7127833366394043,499
435.05,600,-118.70566491000001,111,0.45119115710258484,0.34134170413017273,691,76800,0.0007,0.95923912525177,-1.7750524282455444,599
453.59,700,-102.92591886,128,0.9928206205368042,0.6362733244895935,699,89600,0.0007,0.9805184602737427,-1.973038911819458,699
450.7,800,-78.41451262,145,-0.41770651936531067,1.2611148357391357,705,102400,0.0007,0.6893733739852905,-1.9768784046173096,799
499.08,900,-83.45434303,161,0.35413068532943726,0.6258095502853394,712,115200,0.0007,0.20007461309432983,-1.7126753330230713,899
525.11,1000,-59.42438306000001,178,-5.4554901123046875,79.7023696899414,716,128000,0.0007,0.34778040647506714,-1.6646392345428467,999
545.83,1100,-47.50177710999999,201,-0.7936843037605286,6.252660751342773,698,140800,0.0007,0.9666386842727661,-1.8799861669540405,1099
570.44,1200,-16.353755749999994,218,1.9257482290267944,62.55242919921875,703,153600,0.0007,0.78971266746521,-1.6657558679580688,1199
581.82,1300,17.298618359999995,235,0.16467447578907013,40.551605224609375,707,166400,0.0007,0.6123647689819336,-1.5370577573776245,1299
589.94,1400,51.92183887,252,0.41365307569503784,1.4165525436401367,710,179200,0.0007,0.9918426275253296,-1.4795656204223633,1399
596.11,1500,64.04826734000001,269,1.67897367477417,53.29792022705078,712,192000,0.0007,0.7895927429199219,-1.9201738834381104,1499
598.17,1600,74.11541539000001,291,-1.9324350357055664,5.128621578216553,703,204800,0.0007,0.7808099985122681,-1.4847161769866943,1599
582.84,1700,58.25089946999999,308,-1.9354989528656006,9.333127975463867,705,217600,0.0007,0.7736954689025879,-1.564799427986145,1699
552.66,1800,60.2480895,325,-0.372901976108551,12.815848350524902,708,230400,0.0007,0.8925490379333496,-1.77933669090271,1799
544.26,1900,55.271178279999994,342,-1.5994480848312378,3.8942692279815674,709,243200,0.0007,0.9817113876342773,-1.0953989028930664,1899
539.88,2000,74.09268517,359,2.1143598556518555,49.951988220214844,711,256000,0.0007,0.4619171619415283,-1.6188311576843262,1999
525.71,2100,105.56381552,382,-0.19218386709690094,20.662944793701172,702,268800,0.0007,0.9301882982254028,-1.2759568691253662,2099
530.11,2200,133.29651581,399,-6.18366813659668,751.3010864257812,704,281600,0.0007,0.24698328971862793,-1.1808782815933228,2199
510.58,2300,182.66866565,417,4.666518211364746,56.70486068725586,705,294400,0.0007,0.831851601600647,-1.0458744764328003,2299
504.71,2400,218.76589917,433,-1.103477954864502,16.89382553100586,707,307200,0.0007,0.9206578135490417,-0.887778639793396,2399
511.1,2500,227.24243846000002,451,0.6783438920974731,70.53857421875,709,320000,0.0007,0.3138149380683899,-1.0290944576263428,2499
500.07,2600,229.00360137000004,468,2.006559371948242,43.53206253051758,711,332800,0.0007,0.5485466122627258,-1.3108508586883545,2599
515.78,2700,212.78455780000002,489,7.108764171600342,1082.3690185546875,705,345600,0.0007,0.39350730180740356,-0.9443356394767761,2699
497.35,2800,230.8552804,506,-1.8068931102752686,4.139969825744629,708,358400,0.0007,0.7336993217468262,-1.0120117664337158,2799
479.39,2900,255.16590498000002,523,-0.1787104308605194,37.33263397216797,709,371200,0.0007,0.6224836111068726,-1.190906047821045,2899
440.65,3000,305.2058626,540,4.492853164672852,842.3756103515625,710,384000,0.0007,0.5488898754119873,-0.7027877569198608,2999
420.23,3100,329.06626294999995,557,-1.9368821382522583,52.66836929321289,711,396800,0.0007,0.9001721739768982,-0.7797996997833252,3099
413.13,3200,331.99681768999994,577,-0.1959424912929535,64.27476501464844,708,409600,0.0007,0.7467900514602661,-1.030220627784729,3199
414.09,3300,329.80064044,594,-2.0150272846221924,30.694904327392578,710,422400,0.0007,0.7826448678970337,-0.9050204753875732,3299
416.34,3400,326.41514397,610,-0.3396359384059906,8.558444023132324,713,435200,0.0007,0.9628908634185791,-0.9033531546592712,3399
414.47,3500,340.57286574000005,627,3.886483907699585,62.75737380981445,714,448000,0.0007,0.7696301937103271,-1.1796491146087646,3499
412.91,3600,323.27287007999996,644,0.855887770652771,16.146379470825195,714,460800,0.0007,0.971205472946167,-0.8014229536056519,3599
418.85,3700,305.1094971,668,-2.725525140762329,18.15690803527832,708,473600,0.0007,0.08965915441513062,-1.2609291076660156,3699
408.26,3800,302.4112717400001,685,3.168194532394409,13.427594184875488,709,486400,0.0007,0.8865102529525757,-1.1826679706573486,3799
414.49,3900,314.54915571000004,702,0.024173546582460403,2.7150001525878906,710,499200,0.0007,0.984279215335846,-0.784643292427063,3899
396.8,4000,351.4122352699999,720,-1.1690174341201782,7.353588581085205,711,512000,0.0007,0.8878621459007263,-0.7331294417381287,3999
388.14,4100,344.2203924699999,737,-0.8454311490058899,10.618132591247559,711,524800,0.0007,0.9545835852622986,-0.7796856760978699,4099
377.18,4200,353.7456344600001,759,-1.534022569656372,235.17620849609375,707,537600,0.0007,0.6796650290489197,-0.6276008486747742,4199
375.49,4300,356.0684938,776,-4.151501655578613,33.564571380615234,708,550400,0.0007,0.4319188594818115,-1.2725764513015747,4299
388.86,4400,368.44960989,793,7.693625450134277,779.46484375,709,563200,0.0007,0.6883733868598938,-0.9248892664909363,4399
422.76,4500,336.6085453200001,811,-0.39734238386154175,3.2533037662506104,710,576000,0.0007,0.9422274827957153,-0.6857361197471619,4499
419.24,4600,339.3252565,828,3.294558525085449,35.8705940246582,710,588800,0.0007,0.9205927848815918,-0.8742314577102661,4599
417.15,4700,335.96883572,848,-0.9777718782424927,10.236405372619629,708,601600,0.0007,0.9490873217582703,-0.7312504053115845,4699
398.69,4800,367.84022233999997,865,-0.7118204236030579,46.10374450683594,710,614400,0.0007,0.7564910054206848,-0.6627690196037292,4799
396.51,4900,361.08601452999994,882,2.028895139694214,43.40110778808594,710,627200,0.0007,0.8463495969772339,-0.77957683801651,4899
391.05,5000,375.63478688000004,899,0.953087329864502,17.883224487304688,711,640000,0.0007,0.9564611315727234,-0.5826285481452942,4999
379.38,5100,390.01503474,916,-0.4559754431247711,12.557310104370117,712,652800,0.0007,0.956690788269043,-0.4094812870025635,5099
382.73,5200,394.38893826,933,-0.6501142382621765,21.867706298828125,712,665600,0.0007,0.9296680092811584,-0.46917808055877686,5199
378.24,5300,402.36132254999995,956,-1.66622793674469,29.28081512451172,709,678400,0.0007,0.8567514419555664,-0.7385834455490112,5299
386.3,5400,396.46187618,973,1.999753713607788,77.48249816894531,710,691200,0.0007,0.7373999357223511,-0.34627798199653625,5399
385.72,5500,395.53520106,990,0.14687594771385193,19.565954208374023,710,704000,0.0007,0.9302844405174255,-0.7402522563934326,5499
399.1,5600,363.12751290999995,1007,1.1349519491195679,47.56391906738281,711,716800,0.0007,0.855613648891449,-0.41261181235313416,5599
416.09,5700,343.85170120000004,1024,-1.467576026916504,6.090108871459961,711,729600,0.0007,0.9220969676971436,-0.722510814666748,5699
430.72,5800,328.17225674,1046,-0.3361455798149109,19.57221031188965,709,742400,0.0007,0.9330542087554932,-0.5167375802993774,5799
424.55,5900,352.0190361100001,1063,-0.9276692867279053,4.3480730056762695,710,755200,0.0007,0.9566375017166138,-0.6361159086227417,5899
412.93,6000,370.0150136999999,1080,-0.9461389780044556,12.67845344543457,710,768000,0.0007,0.6641064882278442,-0.9166074395179749,5999
435.04,6100,301.20121165,1098,-0.583985447883606,27.075956344604492,710,780800,0.0007,0.9307932257652283,-0.5043944716453552,6099
473.72,6200,243.48913350000004,1115,-0.13971664011478424,27.672142028808594,711,793600,0.0007,0.9066282510757446,-0.2644727826118469,6199
