timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-713.07,132.07,0.0,nan,21.21,0.878,0.096
10000,-713.07,132.07,0.0,nan,21.21,0.878,0.096
20000,-305.0,426.4,0.0,3.444,26.86,0.769,-0.077
30000,-56.85,37.08,0.0,1.742,31.05,0.849,-0.056
40000,-46.6,40.86,0.0,1.66,29.33,0.849,0.379
50000,-15.27,35.76,0.0,2.351,21.17,0.864,1.281
60000,-61.8,141.43,0.0,2.744,44.1,0.747,2.196
70000,113.57,47.6,0.0,2.929,54.9,0.645,3.192
80000,277.49,78.61,0.8,3.935,37.92,0.742,3.94
90000,309.61,80.66,0.8,3.093,40.69,0.73,5.135
100000,339.77,82.67,0.8,2.64,42.76,0.694,6.137
110000,60.18,60.6,0.0,2.873,45.33,0.736,6.828
120000,325.63,119.93,0.7,2.343,45.77,0.697,7.327
130000,125.46,547.59,0.7,2.846,47.33,0.691,7.975
140000,32.38,137.82,0.1,2.423,38.85,0.779,8.622
150000,-13.11,32.4,0.0,2.663,37.57,0.775,9.143
160000,-112.58,310.08,0.0,2.573,34.87,0.79,9.42
170000,29.01,49.45,0.0,2.061,20.16,0.822,9.668
180000,14.48,40.26,0.0,2.814,45.4,0.841,9.879
190000,4.04,51.02,0.0,3.317,45.5,0.815,10.168
200000,33.73,39.1,0.0,1.752,32.0,0.81,10.735
200000,26.07,36.18,0.0,1.683,31.08,0.819,10.848
