timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-461.09,348.18,0.0,nan,41.92,0.743
20000,-320.47,300.81,0.0,2.729,62.0,0.573
30000,-167.8,68.96,0.0,2.729,55.93,0.474
40000,-288.16,197.26,0.0,nan,62.0,0.39
50000,-186.69,164.61,0.0,1.171,54.34,0.638
60000,-275.89,246.42,0.0,nan,56.87,0.432
70000,-403.83,309.58,0.0,nan,58.26,0.505
80000,-294.01,217.57,0.0,2.603,60.42,0.54
90000,-393.2,145.54,0.0,nan,36.91,0.679
100000,-47.75,35.75,0.0,2.399,62.0,0.854
110000,-82.35,10.06,0.0,nan,62.0,0.875
120000,26.0,55.08,0.0,2.681,62.0,0.804
130000,-103.96,28.19,0.0,nan,62.0,0.844
140000,-110.86,91.21,0.0,2.749,44.86,0.721
150000,-36.66,110.72,0.0,2.623,38.43,0.688
160000,32.28,53.19,0.0,2.711,56.72,0.733
170000,123.87,39.05,0.0,3.616,62.0,0.732
180000,149.24,118.29,0.2,3.63,57.55,0.701
190000,2.91,62.39,0.0,2.698,47.0,0.616
200000,84.68,142.07,0.1,2.459,61.1,0.726
200704,41.73,215.48,0.2,2.864,57.23,0.766
