timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-188.62,244.18,0.0,nan,62.0,0.894,0.168
16668,-133.87,34.18,0.0,nan,50.53,0.647,0.017
33332,-145.03,58.85,0.0,2.869,58.86,0.827,-0.158
50000,60.66,128.45,0.1,2.227,40.69,0.81,0.004
66664,-43.33,42.22,0.0,4.327,62.0,0.789,0.797
83332,134.0,144.88,0.3,3.392,54.91,0.763,2.008
99996,160.71,80.44,0.1,2.975,55.37,0.799,2.984
116664,189.07,116.04,0.4,4.18,48.96,0.735,4.194
133328,77.97,135.41,0.2,4.868,53.87,0.731,5.183
149996,156.18,131.89,0.3,3.292,45.39,0.773,6.634
166660,72.35,135.53,0.4,5.911,45.41,0.745,7.801
183328,72.28,122.2,0.2,4.789,60.41,0.693,9.744
199992,37.79,114.26,0.1,3.81,44.75,0.776,11.738
200000,20.94,112.57,0.1,3.426,36.33,0.792,11.831
