train/entropy_loss,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/value_loss,train/n_updates,time/fps
-1.978743553161621,0.00043010711669921875,-7.121345043182373,12800,100,-50.41872634000001,5,0.0007,93.52,325.84808349609375,99,2148
-1.7546745538711548,0.0004304647445678711,-5.011379241943359,25600,200,-56.65152363999999,11,0.0007,71.34,236.70681762695312,199,2191
-1.6884024143218994,-0.00046050548553466797,3.8444535732269287,38400,300,-50.57988447000002,17,0.0007,80.77,81.03836822509766,299,2207
-1.97926926612854,-0.0008429288864135742,2.68757700920105,51200,400,-46.899855099999996,22,0.0007,95.99,4.460415840148926,399,2263
-1.830946922302246,-0.0001575946807861328,1.540619969367981,64000,500,-67.60679857999999,27,0.0007,102.92,16.153705596923828,499,2312
-1.800827980041504,-5.424022674560547e-05,-5.603019714355469,76800,600,-70.16424061000001,33,0.0007,81.17,160.45811462402344,599,2307
-2.0177571773529053,-1.990795135498047e-05,3.784048557281494,89600,700,-67.97052812,38,0.0007,99.76,14.596200942993164,699,2314
-2.0247275829315186,-0.0014594793319702148,5.048431873321533,102400,800,-51.079728509999995,44,0.0007,108.48,12.432416915893555,799,2286
-1.9207921028137207,-8.71419906616211e-05,-0.9859418869018555,115200,900,-39.98198684,50,0.0007,109.59,77.37149810791016,899,2267
-1.574633240699768,0.0,-3.213115930557251,128000,1000,-53.060375220000005,56,0.0007,76.89,206.17271423339844,999,2259
-2.0190253257751465,-1.7404556274414062e-05,5.9739789962768555,140800,1100,-31.401228310000008,62,0.0007,54.49,24.462326049804688,1099,2246
-1.888145923614502,-4.649162292480469e-06,-1.4568943977355957,153600,1200,-26.260269730000005,68,0.0007,87.66,58.02513885498047,1199,2232
-1.7769923210144043,-1.8715858459472656e-05,0.14496314525604248,166400,1300,-19.88321296,74,0.0007,83.12,16.734621047973633,1299,2234
-1.7500349283218384,-1.1324882507324219e-05,4.923120021820068,179200,1400,-30.810940719999994,79,0.0007,71.29,38.133766174316406,1399,2251
-1.8828213214874268,-2.384185791015625e-07,-5.832302570343018,192000,1500,-28.02024537,85,0.0007,90.8,238.35595703125,1499,2255
-1.2491540908813477,-1.1920928955078125e-07,-19.374286651611328,204800,1600,-65.53604672,90,0.0007,44.24,737.5018310546875,1599,2269
-1.9343979358673096,5.364418029785156e-07,-5.750687599182129,217600,1700,-50.179833050000006,95,0.0007,60.0,161.1881866455078,1699,2275
-1.771496057510376,-6.794929504394531e-06,6.461673736572266,230400,1800,-22.167813330000005,101,0.0007,87.49,49.62303161621094,1799,2277
-1.7252771854400635,-2.86102294921875e-06,3.2796363830566406,243200,1900,-35.07230948,107,0.0007,90.96,142.67234802246094,1899,2271
-1.7257827520370483,-3.5762786865234375e-07,-20.120906829833984,256000,2000,-64.73493647,112,0.0007,82.45,521.1016845703125,1999,2271
-1.32770836353302,-8.344650268554688e-07,4.841304779052734,268800,2100,-59.287319180000004,118,0.0007,65.1,130.013671875,2099,2275
-1.6572972536087036,-3.2186508178710938e-06,3.714015483856201,281600,2200,-69.18563454,123,0.0007,89.09,69.69197845458984,2199,2277
-1.790670394897461,-3.933906555175781e-06,-0.4467257857322693,294400,2300,-47.74965363999999,129,0.0007,93.01,129.8476104736328,2299,2271
