timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-627.89,402.7,0.0,nan,51.42,0.706
20000,-184.88,233.08,0.0,nan,62.0,0.894
30000,-182.09,266.99,0.0,nan,51.92,0.902
40000,-188.62,244.18,0.0,nan,62.0,0.894
50000,-188.62,244.18,0.0,nan,62.0,0.894
60000,-188.62,244.18,0.0,nan,62.0,0.894
70000,-188.62,244.18,0.0,nan,62.0,0.894
80000,-743.83,228.49,0.0,nan,29.44,0.824
90000,-191.39,208.04,0.0,nan,62.0,0.852
100000,-188.62,244.18,0.0,nan,62.0,0.894
110000,-188.62,244.18,0.0,nan,62.0,0.894
120000,-188.62,244.18,0.0,nan,62.0,0.894
130000,-407.2,306.76,0.0,2.387,52.89,0.849
140000,-261.65,216.12,0.0,nan,52.37,0.88
150000,-188.62,244.18,0.0,nan,62.0,0.894
160000,-188.62,244.18,0.0,nan,62.0,0.894
170000,-188.62,244.18,0.0,nan,62.0,0.894
180000,-237.86,197.84,0.0,2.705,62.0,0.881
190000,-188.62,244.18,0.0,nan,62.0,0.894
200000,-188.62,244.18,0.0,nan,62.0,0.894
200064,-188.62,244.18,0.0,nan,62.0,0.894
