rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
304.5,0.9758225,9,209,4,2036,-699.1180005,,,
296.375,0.9665125,10,265,8,2820,-443.452639125,,,
404.25,0.9370625000000001,14,374,12,5300,-370.7706595,,,
440.3125,0.91089,17,429,16,7504,-375.1100023125,,,
425.95,0.8915574999999999,19,461,20,9132,-386.4180986,,,
435.0,0.8656700000000002,23,473,24,11312,-387.73429983333335,0.0003,81,0.5218432545661926
436.17857142857144,0.8444375,28,463,28,13100,-357.72008692857145,0.0003,193,0.5439724922180176
459.15625,0.8149875000000001,34,452,32,15580,-359.1698234375,0.0003,348,0.13877485692501068
460.52777777777777,0.7855374999999999,46,386,36,18060,-359.00829166666665,0.0003,503,0.5101326107978821
469.25,0.769815,49,388,40,19384,-372.01862972500004,0.0003,586,0.11695180088281631
473.27272727272725,0.7473474999999999,54,390,44,21276,-356.0078725454545,0.0003,704,0.08580097556114197
442.1041666666667,0.743025,55,389,48,21640,-331.6196229583333,0.0003,727,0.13966350257396698
438.5769230769231,0.7192750000000001,60,387,52,23640,-334.30146951923075,0.0003,852,0.16564756631851196
428.60714285714283,0.7041225,64,385,56,24916,-321.5645327857143,0.0003,932,0.05338344722986221
426.68333333333334,0.6816550000000002,69,383,60,26808,-312.9611466333334,0.0003,1050,0.04535779729485512
438.765625,0.6522049999999999,76,384,64,29288,-322.298541671875,0.0003,1205,0.41664189100265503
433.30882352941177,0.640805,78,386,68,30248,-346.0839299117647,0.0003,1265,0.22645969688892365
428.9861111111111,0.6199050000000002,81,392,72,32008,-339.433177625,0.0003,1375,0.5198677778244019
427.2894736842105,0.6129225,82,394,76,32596,-326.38858698684214,0.0003,1412,0.11524845659732819
415.9375,0.5996699999999999,86,391,80,33712,-312.9511243625,0.0003,1481,0.12485715746879578
409.57142857142856,0.578865,88,400,84,35464,-302.0789490952381,0.0003,1591,0.22106152772903442
408.97727272727275,0.5687000000000001,90,403,88,36320,-301.8432507727273,0.0003,1644,1.023545742034912
400.9891304347826,0.5540224999999999,92,407,92,37556,-292.7255140434783,0.0003,1722,0.09029249101877213
387.4375,0.5462800000000001,93,408,96,38208,-283.21449566666666,0.0003,1762,0.18375834822654724
391.22,0.5231475000000001,98,408,100,40156,-280.20096058,0.0003,1884,0.2233508676290512
392.71,0.5131250000000002,100,409,104,41000,-257.80643853000004,0.0003,1937,0.3373653292655945
398.79,0.4936974999999999,104,407,108,42636,-258.16897950000003,0.0003,2039,0.0934702530503273
392.75,0.46424750000000004,112,402,112,45116,-249.87069744000001,0.0003,2194,0.6251114010810852
389.74,0.4435849999999999,116,401,116,46856,-237.79423145,0.0003,2303,0.21545350551605225
392.31,0.42206750000000004,121,400,120,48668,-218.94862243,0.0003,2416,0.8175380229949951
385.19,0.4166525000000002,122,399,124,49124,-204.38282037999997,0.0003,2445,0.6595674753189087
388.58,0.3872025,136,378,128,51604,-196.61250861000005,0.0003,2600,0.1383916586637497
380.09,0.3645925000000001,141,379,132,53508,-178.48819685,0.0003,2719,0.058766189962625504
