timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-188.62,244.18,0.0,nan,62.0,0.894,0.168
16668,-96.49,56.87,0.0,2.266,62.0,0.861,-0.185
33332,-116.25,41.23,0.0,nan,37.0,0.778,-0.374
50000,1.61,8.2,0.0,2.93,14.81,0.886,-0.098
66664,231.58,105.56,0.3,2.721,57.42,0.761,0.437
83332,89.69,121.38,0.1,2.425,47.19,0.767,1.716
99996,111.85,197.75,0.3,2.726,54.0,0.772,2.607
116664,15.12,75.96,0.0,2.78,52.39,0.743,3.52
133328,347.71,83.46,0.9,2.964,49.43,0.745,4.643
149996,272.3,146.92,0.7,3.133,48.64,0.748,5.692
166660,187.92,205.54,0.4,2.897,49.35,0.73,6.861
183328,110.31,130.95,0.1,2.77,61.08,0.696,8.029
199992,40.65,96.13,0.0,4.066,51.96,0.794,9.183
200000,49.3,94.6,0.0,3.768,59.28,0.782,9.211
