timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-713.8,297.13,0.0,nan,21.65,0.845
20000,-704.61,389.39,0.0,nan,24.1,0.817
30000,-274.94,349.49,0.0,nan,50.89,0.82
40000,-161.06,162.3,0.0,nan,16.22,0.898
50000,-124.38,104.61,0.0,2.642,55.0,0.881
60000,-387.05,355.46,0.0,nan,55.0,0.877
70000,-134.87,136.87,0.0,nan,55.0,0.898
80000,-122.06,101.98,0.0,nan,55.0,0.894
90000,-113.21,59.54,0.0,nan,55.0,0.878
100000,-86.71,48.03,0.0,2.457,44.38,0.595
110000,-139.35,40.52,0.0,nan,40.69,0.643
120000,-118.59,71.56,0.0,2.516,51.43,0.511
130000,-607.39,276.33,0.0,2.742,39.76,0.707
140000,-115.64,40.7,0.0,2.606,55.0,0.515
150000,-122.16,136.98,0.0,2.464,53.81,0.537
160000,-12.91,76.1,0.0,2.278,42.56,0.657
170000,-108.65,49.14,0.0,2.694,47.89,0.635
180000,-114.62,51.07,0.0,2.324,55.0,0.66
190000,-49.48,159.1,0.0,2.447,54.2,0.721
200000,29.33,90.18,0.0,2.517,55.0,0.722
200704,-81.42,231.69,0.0,2.587,54.45,0.706
