timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-540.45,340.98,0.0,nan,41.21,0.742
20000,-451.33,443.88,0.0,nan,62.0,0.762
30000,-188.62,244.18,0.0,nan,62.0,0.894
40000,-188.62,244.18,0.0,nan,62.0,0.894
50000,-188.62,244.18,0.0,nan,62.0,0.894
60000,-188.62,244.18,0.0,nan,62.0,0.894
70000,-188.62,244.18,0.0,nan,62.0,0.894
80000,-298.92,329.93,0.0,2.515,62.0,0.858
90000,-175.83,165.05,0.0,2.613,62.0,0.868
100000,-288.05,346.62,0.0,2.427,62.0,0.825
110000,-232.54,152.15,0.0,2.438,62.0,0.845
120000,-327.12,318.15,0.0,2.343,62.0,0.831
130000,-315.84,356.04,0.0,nan,62.0,0.806
140000,-2.47,137.52,0.0,2.096,51.84,0.782
150000,-50.15,113.44,0.0,2.494,55.12,0.808
160000,-70.62,46.3,0.0,2.499,62.0,0.811
170000,-80.68,154.98,0.0,2.244,53.92,0.807
180000,22.59,129.68,0.1,2.435,53.97,0.785
190000,3.59,145.65,0.1,2.507,60.03,0.807
200000,-29.91,106.1,0.0,2.472,52.87,0.806
200704,-7.1,95.22,0.0,2.468,54.54,0.82
