timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-146.32,171.88,0.0,nan,55.0,0.899,0.168
10000,-146.32,171.88,0.0,nan,55.0,0.899,0.168
20000,-305.17,299.06,0.0,nan,49.47,0.826,-1.075
30000,-61.89,84.35,0.0,2.625,55.0,0.873,-1.522
40000,-57.26,56.45,0.0,2.379,51.31,0.886,-1.741
50000,-83.26,16.65,0.0,nan,55.0,0.882,-1.9
60000,-65.4,26.76,0.0,2.72,55.0,0.86,-1.847
70000,-75.63,47.25,0.0,2.672,46.26,0.847,-1.703
80000,-7.63,67.42,0.0,2.651,48.43,0.839,-1.56
90000,-50.92,51.92,0.0,2.731,50.42,0.839,-1.352
100000,-16.98,73.0,0.0,3.861,55.0,0.823,-1.104
110000,0.35,93.37,0.0,2.813,51.43,0.815,-0.937
120000,107.1,32.35,0.0,2.672,55.0,0.807,-0.762
130000,-15.97,108.27,0.0,2.519,55.0,0.803,-0.706
140000,141.74,51.91,0.0,2.66,55.0,0.769,-0.45
150000,-30.22,23.45,0.0,2.473,55.0,0.805,-0.187
160000,-6.03,51.93,0.0,3.798,45.28,0.813,-0.009
170000,-28.97,58.19,0.0,2.791,50.66,0.811,0.311
180000,-1.66,38.56,0.0,4.275,47.56,0.826,0.487
190000,1.35,15.16,0.0,3.473,51.07,0.814,0.68
200000,7.79,55.14,0.0,2.442,55.0,0.825,0.63
200000,4.84,27.68,0.0,2.36,50.84,0.834,0.632
