timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-146.32,171.88,0.0,nan,55.0,0.899,0.168
10000,-146.32,171.88,0.0,nan,55.0,0.899,0.168
20000,-162.5,150.23,0.0,nan,9.43,0.914,-0.254
30000,-53.88,46.25,0.0,2.868,23.09,0.889,-0.299
40000,-88.65,53.36,0.0,2.875,42.58,0.864,-0.12
50000,19.14,75.38,0.0,3.562,47.4,0.797,0.127
60000,-88.45,222.65,0.0,3.307,43.52,0.782,0.578
70000,-8.05,40.5,0.0,3.519,53.25,0.777,0.958
80000,-61.39,29.56,0.0,3.603,55.0,0.729,1.873
90000,-56.77,32.76,0.0,3.213,55.0,0.745,2.837
100000,56.22,39.51,0.0,2.829,55.0,0.733,3.882
110000,117.63,57.03,0.0,2.58,54.73,0.715,4.603
120000,26.54,122.24,0.1,3.238,53.83,0.781,5.339
130000,-22.74,101.75,0.0,2.792,53.04,0.738,6.337
140000,-124.95,47.53,0.0,2.542,52.08,0.756,7.336
150000,217.91,106.72,0.7,5.23,43.25,0.747,8.065
160000,-101.16,14.55,0.0,nan,55.0,0.755,8.89
170000,-68.09,21.61,0.0,4.621,55.0,0.848,9.501
180000,223.72,108.68,0.5,3.442,51.48,0.726,10.125
190000,109.09,121.32,0.2,3.441,52.79,0.741,10.675
200000,-12.87,64.16,0.0,2.957,54.15,0.824,11.346
200000,-54.9,49.44,0.0,3.122,55.0,0.828,11.374
