rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
304.5,0.9758225,8,248,4,2036,-699.1180005,,,
296.375,0.9665125,9,301,8,2820,-443.452639125,,,
404.25,0.9370625000000001,12,423,12,5300,-370.7706595,,,
440.3125,0.91089,14,505,16,7504,-375.1100023125,,,
425.95,0.8915574999999999,16,540,20,9132,-386.4180986,,,
435.0,0.8656700000000002,20,552,24,11312,-387.73429983333335,0.0003,81,0.5218214988708496
428.85714285714283,0.8456724999999999,21,593,28,12996,-355.6788411785715,0.0003,187,0.1688949465751648
436.1875,0.8240599999999999,23,624,32,14816,-335.00122518750004,0.0003,300,0.5614212155342102
435.5833333333333,0.8068175000000001,25,645,36,16268,-329.3632268333334,0.0003,391,0.1531188040971756
442.275,0.778745,33,548,40,18632,-378.67936717500004,0.0003,539,0.10658858716487885
455.77272727272725,0.749295,37,555,44,21112,-378.83952200000004,0.0003,694,0.06385906040668488
458.8125,0.7290125000000001,39,576,48,22820,-388.371876375,0.0003,801,0.16853244602680206
463.8269230769231,0.7066400000000002,41,592,52,24704,-399.0937946153845,0.0003,918,0.3848542273044586
471.5,0.67719,44,615,56,27184,-388.23023758928565,0.0003,1073,0.03349674493074417
463.43333333333334,0.6599950000000001,46,622,60,28632,-367.09942903333337,0.0003,1164,0.4112809896469116
451.21875,0.64394,47,632,64,29984,-349.0886350625,0.0003,1248,0.324438214302063
446.6764705882353,0.6302599999999999,48,643,68,31136,-331.2590332205882,0.0003,1320,0.17909061908721924
440.5138888888889,0.6172924999999999,49,647,72,32228,-319.5723935694444,0.0003,1389,0.11781585216522217
440.11842105263156,0.5936375,57,590,76,34220,-312.6151473421052,0.0003,1513,0.1962185800075531
446.6,0.5641875000000001,61,600,80,36700,-315.20868953750005,0.0003,1668,0.06848777085542679
450.79761904761904,0.5347375000000001,63,618,84,39180,-307.11112498809524,0.0003,1823,0.3981013298034668
454.85227272727275,0.5180650000000001,64,627,88,40584,-296.1552013295455,0.0003,1911,0.47416988015174866
448.82608695652175,0.5052874999999999,65,634,92,41660,-285.3117598478261,0.0003,1978,0.1475306749343872
440.6354166666667,0.4848625000000001,67,646,96,43380,-275.39461485416666,0.0003,2086,0.1504964679479599
445.05,0.4594975,69,658,100,45516,-269.7418305,0.0003,2219,0.3829156756401062
449.59,0.43413250000000003,70,671,104,47652,-242.92092856999992,0.0003,2353,0.26419901847839355
453.41,0.41983499999999996,71,679,108,48856,-234.29502881999997,0.0003,2428,0.132539302110672
454.01,0.390385,80,639,112,51336,-225.21072094,0.0003,2583,0.07312847673892975
449.82,0.3715274999999998,82,643,116,52924,-209.93747495999997,0.0003,2682,0.08245087414979935
451.2,0.3541424999999999,84,644,120,54388,-193.57879698,0.0003,2774,0.2555535137653351
451.23,0.3270675000000002,86,652,124,56668,-178.43128687999996,0.0003,2916,0.040874041616916656
457.71,0.29956499999999997,89,661,128,58984,-173.03961929999997,0.0003,3061,0.19843916594982147
458.74,0.2855525000000002,90,667,132,60164,-159.28450217999998,0.0003,3135,0.12221868336200714
462.34,0.2561025,92,676,136,62644,-148.41061841,0.0003,3290,0.3547704815864563
465.0,0.22665249999999992,94,686,140,65124,-117.00128822999997,0.0003,3445,0.669435977935791
459.64,0.20717750000000001,102,652,144,66764,-98.60124075,0.0003,3547,0.43972501158714294
455.34,0.19572999999999996,103,654,148,67728,-74.38592292999999,0.0003,3607,0.6766709685325623
454.66,0.1677525000000002,106,657,152,70084,-49.73326873,0.0003,3755,0.28409940004348755
447.78,0.1431475000000001,108,664,156,72156,-37.47953459,0.0003,3884,0.09996400028467178
454.85,0.12319749999999985,110,667,160,73836,-31.477407869999997,0.0003,3989,0.11236710101366043
463.7,0.09640749999999998,113,669,164,76092,-20.865382729999997,0.0003,4130,0.126803919672966
468.89,0.06871499999999997,115,677,168,78424,-9.575164520000003,0.0003,4276,1.0597097873687744
476.61,0.051995000000000235,117,681,172,79832,1.3016444400000011,0.0003,4364,0.3396931290626526
475.1,0.05,119,681,176,81672,10.992596069999998,0.0003,4479,0.20452116429805756
474.98,0.05,127,660,180,83940,31.704418230000005,0.0003,4621,0.7679679989814758
467.2,0.05,128,663,184,85408,38.66425235,0.0003,4712,0.16370388865470886
466.31,0.05,130,671,188,87824,45.961819209999994,0.0003,4863,0.13175362348556519
474.16,0.05,132,678,192,89776,54.153985979999995,0.0003,4985,0.3126823902130127
481.89,0.05,133,682,196,91128,60.05617583999999,0.0003,5070,0.3864595293998718
477.07,0.05,135,688,200,93176,71.06189211,0.0003,5198,0.5303694605827332
473.23,0.05,136,687,204,93744,74.24930927999999,0.0003,5233,0.5316897034645081
462.75,0.05,137,692,208,95240,77.12954590999998,0.0003,5327,1.245719313621521
460.85,0.05,138,696,212,96564,81.64952194,0.0003,5410,1.6031781435012817
450.45,0.05,140,700,216,98284,81.46770647000002,0.0003,5517,0.7024998664855957
458.68,0.05,147,684,220,100764,90.33819478,0.0003,5672,0.1169738918542862
460.44,0.05,148,690,224,102764,96.7824,0.0003,5797,0.17062021791934967
461.15,0.05,151,694,228,105244,106.22670047000001,0.0003,5952,0.31343844532966614
460.46,0.05,154,692,232,106868,110.30516817999998,0.0003,6054,0.8776608109474182
452.17,0.05,155,696,236,108192,111.62548108999998,0.0003,6136,0.22982822358608246
443.83,0.05,156,697,240,109104,116.8738435,0.0003,6193,0.1802038699388504
447.84,0.05,158,700,244,110960,123.91741766000001,0.0003,6309,0.1211613267660141
442.72,0.05,160,704,248,112860,123.73843517999998,0.0003,6428,0.5027863383293152
436.81,0.05,160,706,252,113660,125.56356446999999,0.0003,6478,0.09609691053628922
428.06,0.05,162,708,256,115048,124.52688478,0.0003,6565,0.34949201345443726
420.12,0.05,163,710,260,115872,127.13123668,0.0003,6616,0.11796969920396805
410.64,0.05,167,699,264,117016,122.44797132000004,0.0003,6688,0.14612455666065216
405.28,0.05,168,701,268,118520,119.66296932000002,0.0003,6782,1.1512891054153442
390.57,0.05,169,703,272,119128,114.61298086000001,0.0003,6820,0.08433778584003448
387.03,0.05,170,705,276,120640,116.878369,0.0003,6914,0.5894660949707031
375.97,0.05,172,705,280,121488,113.20571181,0.0003,6967,0.6617087125778198
374.05,0.05,173,705,284,122496,114.20539473,0.0003,7030,0.21591748297214508
364.86,0.05,175,705,288,124096,113.48871797,0.0003,7130,0.3580353856086731
359.24,0.05,176,706,292,124868,112.34869702000002,0.0003,7179,0.61229407787323
358.08,0.05,179,706,296,127084,117.48926203000002,0.0003,7317,1.0269649028778076
357.94,0.05,182,707,300,128736,117.98660190000003,0.0003,7420,0.6272192597389221
359.66,0.05,185,703,304,130612,122.10077580000002,0.0003,7538,0.08988792449235916
368.41,0.05,187,700,308,131576,130.22967595,0.0003,7598,0.7858746647834778
359.55,0.05,189,698,312,132548,126.07266742000002,0.0003,7659,0.1573152244091034
363.18,0.05,199,669,316,133836,131.61283561,0.0003,7739,0.07396452128887177
359.43,0.05,205,660,320,135952,134.85363363,0.0003,7871,0.7147698402404785
350.42,0.05,207,659,324,137116,133.70446939000004,0.0003,7944,0.26846933364868164
346.15,0.05,211,656,328,138772,136.98624004,0.0003,8048,0.5507816672325134
345.35,0.05,216,653,332,141252,135.39357797,0.0003,8203,0.4482973515987396
351.0,0.05,219,652,336,143216,145.37355515000002,0.0003,8325,0.10569287091493607
357.04,0.05,223,650,340,145216,146.85075869000002,0.0003,8450,0.08529907464981079
356.12,0.05,227,646,344,147340,144.71975183,0.0003,8583,0.4895828664302826
368.34,0.05,232,645,348,149820,144.21419649,0.0003,8738,0.5299232006072998
369.1,0.05,241,624,352,150996,143.01676353,0.0003,8812,0.34327054023742676
378.1,0.05,246,620,356,153192,146.98453127000002,0.0003,8949,0.8487022519111633
387.15,0.05,251,616,360,154916,144.34793003000001,0.0003,9057,1.65256667137146
393.42,0.05,255,611,364,156364,148.91000223,0.0003,9147,0.3135988116264343
392.08,0.05,259,607,368,157848,148.44021559000004,0.0003,9240,0.5377854108810425
409.19,0.05,266,601,372,160328,154.41131484,0.0003,9395,0.8433984518051147
413.86,0.05,269,599,376,161696,159.57278558000002,0.0003,9480,0.4374971389770508
423.01,0.05,274,595,380,163708,167.83363024,0.0003,9606,1.095352292060852
435.22,0.05,280,593,384,166188,169.17228955,0.0003,9761,0.5949912667274475
441.54,0.05,291,576,388,168200,175.70988699,0.0003,9887,0.9614821672439575
445.09,0.05,295,573,392,169572,179.11095497999997,0.0003,9973,0.7497504949569702
446.45,0.05,301,568,396,171424,183.74855298000003,0.0003,10088,0.8562862277030945
448.9,0.05,308,562,400,173852,187.81542094,0.0003,10240,0.19332028925418854
453.35,0.05,314,559,404,175664,194.52933504,0.0003,10353,0.6279869675636292
455.5,0.05,320,554,408,177740,196.17670056999998,0.0003,10483,0.46157318353652954
465.83,0.05,326,550,412,179648,207.59275466000003,0.0003,10602,0.2907499074935913
471.72,0.05,331,548,416,181640,206.15258074999997,0.0003,10727,0.44153499603271484
470.44,0.05,335,546,420,183196,203.77636780999998,0.0003,10824,1.1304413080215454
473.15,0.05,348,529,424,184776,209.02635705999998,0.0003,10923,0.2067273110151291
472.78,0.05,351,529,428,186200,204.32863462,0.0003,11012,0.29876112937927246
472.87,0.05,356,528,432,188208,205.63878427,0.0003,11137,0.6599596738815308
473.16,0.05,361,526,436,190292,207.60298920999998,0.0003,11268,0.7509480714797974
473.02,0.05,365,525,440,192212,212.1998546,0.0003,11388,0.19610266387462616
469.84,0.05,369,525,444,194216,216.49099094000005,0.0003,11513,0.8008713126182556
466.16,0.05,375,523,448,196372,224.42275843000004,0.0003,11648,0.8406437635421753
471.35,0.05,379,521,452,198036,229.62108087000001,0.0003,11752,1.4125421047210693
