timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-510.91,426.4,0.0,nan,40.91,0.749
20000,-887.14,213.77,0.0,nan,34.86,0.77
30000,-188.62,244.18,0.0,nan,62.0,0.894
40000,-177.57,210.33,0.0,nan,62.0,0.891
50000,-188.62,244.18,0.0,nan,62.0,0.894
60000,-188.62,244.18,0.0,nan,62.0,0.894
70000,-188.62,244.18,0.0,nan,62.0,0.894
80000,-188.62,244.18,0.0,nan,62.0,0.894
90000,-188.62,244.18,0.0,nan,62.0,0.894
100000,-188.62,244.18,0.0,nan,62.0,0.894
110000,-188.62,244.18,0.0,nan,62.0,0.894
120000,-188.62,244.18,0.0,nan,62.0,0.894
130000,-188.62,244.18,0.0,nan,62.0,0.894
140000,-188.62,244.18,0.0,nan,62.0,0.894
150000,-188.62,244.18,0.0,nan,62.0,0.894
160000,-110.76,68.33,0.0,nan,62.0,0.883
170000,-188.62,244.18,0.0,nan,62.0,0.894
180000,-188.62,244.18,0.0,nan,62.0,0.894
190000,-188.62,244.18,0.0,nan,62.0,0.894
200000,-188.62,244.18,0.0,nan,62.0,0.894
200064,-188.62,244.18,0.0,nan,62.0,0.894
