timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-289.46,669.38,0.0,nan,15.44,0.854
10000,-367.91,129.68,0.0,nan,17.01,0.885
20000,-794.71,208.43,0.0,nan,43.24,0.642
30000,-54.85,98.34,0.0,2.033,60.46,0.8
40000,-92.88,76.66,0.0,2.289,62.0,0.823
50000,-105.48,251.8,0.0,2.78,60.77,0.818
60000,-381.77,217.58,0.0,3.132,45.73,0.821
70000,-7.27,28.28,0.0,3.019,62.0,0.803
80000,-62.2,39.11,0.0,2.627,62.0,0.815
90000,47.48,87.9,0.0,2.584,57.35,0.629
100000,3.62,108.95,0.0,2.309,48.42,0.764
110000,126.71,163.58,0.3,2.514,54.34,0.705
120000,64.26,139.57,0.1,2.644,59.82,0.681
130000,98.47,205.13,0.3,2.592,57.94,0.697
140000,63.91,147.44,0.1,2.665,54.31,0.642
150000,284.18,194.24,0.7,2.502,39.51,0.75
160000,365.04,92.44,0.8,2.459,47.49,0.729
170000,350.39,107.37,0.8,2.49,45.97,0.724
180000,401.01,12.74,1.0,2.551,45.27,0.746
190000,395.32,8.9,1.0,2.676,39.7,0.765
200000,398.52,19.5,1.0,2.528,41.71,0.738
204800,405.75,10.85,1.0,2.52,39.42,0.753
