time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/loss,train/n_updates
6,14.75,8192,1,1233,-35.70100975,,,,,,,,,,
13,79.5,16384,2,1220,-67.60517936,0.0005,-0.030310138296044897,0.2,0.0013150572776794434,-2.268347912281752,0.2459716796875,71.31642908453941,0.09298676,14.644980430603027,10
19,80.74,24576,3,1267,-58.19046775000001,0.0005,-0.010018311407475267,0.2,0.06150311231613159,-2.1906175345182417,0.124755859375,135.65710678100587,0.009354021,54.313533782958984,20
25,91.92,32768,4,1277,-53.350927690000006,0.0005,-0.010345793548913207,0.2,0.308258593082428,-2.1617099732160567,0.1036376953125,173.08216772079467,0.011826802,49.85001754760742,30
34,89.45,40960,5,1200,-40.76300664000001,0.0005,-0.013022184988221852,0.2,0.5738663673400879,-2.136402201652527,0.14622802734375,99.94902033805847,0.013119111,45.38760757446289,40
42,82.54,49152,6,1166,-32.709655909999995,0.0005,-0.013932043349632295,0.2,0.5109471678733826,-2.128665627539158,0.1421630859375,86.26063579320908,0.018702481,39.508052825927734,50
49,97.5,57344,7,1153,-25.0081372,0.0005,-0.013362800170580159,0.2,0.4190107583999634,-2.0935045778751373,0.12640380859375,176.70204919576645,0.012603831,56.72408676147461,60
57,103.4,65536,8,1129,-20.090227810000002,0.0005,-0.008846885489037958,0.2,0.641212522983551,-2.065653811395168,0.15457763671875,61.310990405082705,0.011689413,17.75187110900879,70
65,106.89,73728,9,1131,-12.029062110000002,0.0005,-0.011420199790154583,0.2,0.7038741111755371,-2.064478274434805,0.13421630859375,59.50101712346077,0.009782572,18.942628860473633,80
73,113.16,81920,10,1112,-6.920469489999999,0.0005,-0.008640212182945107,0.2,0.7392191290855408,-2.059133795648813,0.1501708984375,45.14113390445709,0.013445491,37.10280227661133,90
81,121.13,90112,11,1104,-6.871035910000001,0.0005,-0.0071651494334219025,0.2,0.6455711126327515,-2.0387350618839264,0.15133056640625,72.38245161175728,0.012236064,38.44295883178711,100
91,113.54,98304,12,1074,-1.8468142299999986,0.0005,-0.00891784979176009,0.2,0.8404604196548462,-2.035193822532892,0.1418212890625,23.37225072681904,0.012256563,8.347087860107422,110
100,121.46,106496,13,1063,2.3331241000000005,0.0005,-0.006771654805925209,0.2,0.5312352180480957,-2.0635788671672346,0.0967529296875,147.3654314637184,0.010073984,41.54652786254883,120
108,128.6,114688,14,1058,5.17943219,0.0005,-0.007349099073326215,0.2,0.6444472074508667,-2.035849045217037,0.15980224609375,77.03325020074844,0.013341273,14.359441757202148,130
121,131.07,122880,15,1007,16.2841951,0.0005,-0.00672726629927638,0.2,0.6876083016395569,-2.0378614358603953,0.16177978515625,80.42608107328415,0.013495285,8.383832931518555,140
131,131.8,131072,16,999,16.305002569999996,0.0005,-0.008375229600642343,0.2,0.5300800204277039,-2.027631112188101,0.13846435546875,132.69000149965285,0.011241051,80.98365783691406,150
148,124.87,139264,17,940,16.24398209,0.0005,-0.0073407531810516955,0.2,0.6881940364837646,-2.0108205750584602,0.15601806640625,63.980253332853316,0.010893585,17.21645164489746,160
156,123.28,147456,18,939,21.54734062,0.0005,-0.005961287194804754,0.2,0.6471936702728271,-1.9933935403823853,0.11146240234375,117.51978753209114,0.011454381,18.75399398803711,170
164,123.76,155648,19,945,21.429860329999997,0.0005,-0.006068264754139819,0.2,0.5118753910064697,-2.001754506677389,0.11435546875,197.34087680578233,0.008084634,134.29104614257812,180
171,127.36,163840,20,956,18.35918381,0.0005,-0.0062500851840013635,0.2,0.5159501433372498,-1.998449656367302,0.122265625,175.32825123071672,0.01071415,152.32395935058594,190
180,132.11,172032,21,950,24.387352919999998,0.0005,-0.004315615590166999,0.2,0.6155647039413452,-1.9911015443503857,0.12513427734375,110.88743457794189,0.011581637,49.5206413269043,200
188,138.69,180224,22,955,21.762231030000002,0.0005,-0.005614342129410943,0.2,0.5208852291107178,-1.9933056611567737,0.1010498046875,167.55765715837478,0.010179235,33.680908203125,210
