timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-76.04,6.32,0.0,nan,7.7,0.774
15000,-101.92,17.87,0.0,nan,11.76,0.688
30000,-48.27,12.57,0.0,nan,7.63,0.748
45000,-71.51,2.59,0.0,nan,3.06,0.885
60000,-76.04,6.32,0.0,nan,7.7,0.774
75000,-71.51,2.59,0.0,nan,3.06,0.885
90000,-71.51,2.59,0.0,nan,3.06,0.885
105000,-71.51,2.59,0.0,nan,3.06,0.885
120000,-71.51,2.59,0.0,nan,3.06,0.885
135000,-63.1,13.06,0.0,nan,7.91,0.751
150000,-64.37,50.26,0.0,20.953,8.77,0.713
165000,-71.51,2.59,0.0,nan,3.06,0.885
180000,-71.51,2.59,0.0,nan,3.06,0.885
195000,-76.04,6.32,0.0,nan,7.7,0.774
210000,-71.73,17.71,0.0,nan,4.54,0.837
225000,-58.36,17.33,0.0,nan,5.38,0.814
240000,-33.51,30.29,0.0,16.101,22.97,0.491
255000,-71.51,2.59,0.0,nan,3.06,0.885
270000,-76.04,6.32,0.0,nan,7.7,0.774
285000,-76.56,5.09,0.0,nan,4.52,0.824
300000,-76.12,6.57,0.0,nan,7.92,0.772
300032,-76.16,6.68,0.0,nan,8.05,0.77
