train/learning_rate,time/total_timesteps,train/policy_loss,train/entropy_loss,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean
0.0007,12800,0.01299918070435524,-1.995015025138855,11,1146,14.212632179260254,0.005719959735870361,99,-495.09251156818175,100,264.8181818181818
0.0007,25600,-0.1996697187423706,-1.9805452823638916,19,1322,233.00743103027344,0.00022429227828979492,199,-553.2418213529411,200,282.9294117647059
0.0007,38400,-0.10158220678567886,-1.6242303848266602,29,1287,161.88710021972656,-0.0036208629608154297,299,-556.30592874,300,279.33
0.0007,51200,-0.021094493567943573,-2.133270740509033,43,1166,179.9246826171875,5.9604644775390625e-06,399,-474.3615111800001,400,299.23
0.0007,64000,-0.08324908465147018,-2.055311679840088,54,1184,2.6959221363067627,-0.0009961128234863281,499,-346.11954018999995,500,281.51
0.0007,76800,-0.06978096067905426,-2.04206919670105,66,1160,1.7771791219711304,-0.000674128532409668,599,-273.90958374,600,290.11
0.0007,89600,-0.024300381541252136,-1.9901410341262817,80,1119,6.567243576049805,0.0058002471923828125,699,-89.40984365000004,700,136.92
0.0007,102400,0.024734780192375183,-2.0599114894866943,95,1075,13.759296417236328,0.11580336093902588,799,-63.67084074,800,142.58
0.0007,115200,-0.07226286828517914,-1.991390347480774,105,1090,149.90966796875,0.11081516742706299,899,-95.59706307,900,151.83
0.0007,128000,0.038855407387018204,-1.9448589086532593,115,1107,2.9942660331726074,0.3695257902145386,999,-154.1019535,1000,149.22
0.0007,140800,-0.08757986128330231,-2.0614137649536133,130,1079,4.768711566925049,0.14256370067596436,1099,-86.65212911,1100,121.71
0.0007,153600,-0.18550918996334076,-1.7872909307479858,140,1089,12.529422760009766,0.7478104829788208,1199,-123.75376594,1200,149.54
0.0007,166400,-0.05498531460762024,-2.1133475303649902,150,1104,538.06298828125,0.35023969411849976,1299,-187.78281845,1300,234.09
0.0007,179200,-0.036069829016923904,-2.089430809020996,160,1116,380.22747802734375,0.6044654846191406,1399,-200.99816244,1400,306.2
0.0007,192000,-0.024626754224300385,-2.09678316116333,175,1093,14.419061660766602,0.9683996438980103,1499,-214.37126188000002,1500,374.15
