timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-76.04,6.32,0.0,nan,7.7,0.774
15000,-76.04,6.32,0.0,nan,7.7,0.774
30000,-76.04,6.32,0.0,nan,7.7,0.774
45000,-75.19,6.78,0.0,nan,8.5,0.762
60000,-58.54,22.16,0.0,nan,22.92,0.483
75000,-60.29,4.11,0.0,nan,7.9,0.754
90000,-28.27,17.35,0.0,23.151,11.36,0.669
105000,-50.68,16.75,0.0,19.008,9.29,0.706
120000,-7.25,17.44,0.0,18.92,12.84,0.607
135000,0.84,14.93,0.0,19.373,12.63,0.654
150000,-9.13,20.51,0.0,16.737,12.69,0.625
165000,-1.03,15.89,0.0,18.698,12.21,0.669
180000,2.1,11.39,0.0,18.443,13.19,0.66
195000,2.83,17.39,0.0,19.13,12.9,0.661
210000,-12.24,20.92,0.0,15.889,11.59,0.677
225000,-36.03,24.02,0.0,14.641,12.21,0.655
240000,-62.09,78.24,0.0,17.214,12.01,0.611
255000,-71.67,2.36,0.0,nan,3.08,0.884
270000,-71.51,2.59,0.0,nan,3.06,0.885
285000,0.98,17.21,0.0,14.744,12.77,0.661
300000,-33.61,19.34,0.0,23.68,16.63,0.577
303104,-47.1,15.49,0.0,12.025,8.89,0.735
