train/learning_rate,time/total_timesteps,train/policy_loss,train/entropy_loss,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean
0.0007,12800,-3.710876703262329,-1.7636209726333618,14,868,17.168237686157227,-0.018332719802856445,99,-310.55450320512824,100,278.0769230769231
0.0007,25600,1.9499986171722412,-1.9152952432632446,29,862,62.65678024291992,0.0003476738929748535,199,-268.46325247761195,200,352.8059701492537
0.0007,38400,-9.055408477783203,-2.0964255332946777,44,868,120.94336700439453,0.004234492778778076,299,-271.59232505376343,300,388.8494623655914
0.0007,51200,0.31261181831359863,-2.0534796714782715,62,813,7.110608100891113,0.1469302773475647,399,-264.74841910000004,400,429.99
0.0007,64000,0.7881600856781006,-1.9597392082214355,76,834,1.5813060998916626,0.45976006984710693,499,-273.6080074199999,500,463.88
0.0007,76800,-8.60064697265625,-1.881784439086914,89,861,196.86785888671875,0.2919788956642151,599,-225.75093618999995,600,459.26
0.0007,89600,1.0575281381607056,-1.8334438800811768,100,895,4.391493320465088,0.6034826040267944,699,-190.96432994,700,489.99
0.0007,102400,-10.350754737854004,-1.887460470199585,114,894,252.18316650390625,0.7707614898681641,799,-208.16375661,800,516.85
0.0007,115200,9.356569290161133,-1.8657214641571045,124,924,369.2361755371094,0.6638308763504028,899,-313.79043730999996,900,557.22
0.0007,128000,5.514016628265381,-1.6943128108978271,134,950,197.91632080078125,0.7796006798744202,999,-320.25971950999997,1000,590.65
0.0007,140800,-9.22115421295166,-1.9646027088165283,150,935,139.2462615966797,0.8750994205474854,1099,-298.99672258,1100,583.25
0.0007,153600,-5.0323262214660645,-1.7851133346557617,160,959,68.28315734863281,0.9549790620803833,1199,-315.90415853999997,1200,583.25
0.0007,166400,-3.428941488265991,-1.8862736225128174,170,975,94.37218475341797,0.9247000217437744,1299,-292.49264209999996,1300,594.49
0.0007,179200,4.095380783081055,-1.9136790037155151,181,986,140.7772674560547,0.8896235227584839,1399,-187.80244782000003,1400,591.45
0.0007,192000,-23.037769317626953,-1.8756037950515747,197,969,611.1801147460938,0.8277966976165771,1499,-187.63788169000003,1500,590.38
