timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-76.04,6.32,0.0,nan,7.7,0.774
15000,-92.06,6.94,0.0,nan,3.63,0.872
30000,-76.13,6.25,0.0,nan,7.7,0.774
45000,-235.43,81.81,0.0,nan,20.45,0.551
60000,-76.04,6.32,0.0,nan,7.7,0.774
75000,-87.55,15.29,0.0,47.819,17.4,0.605
90000,-46.58,12.42,0.0,55.108,13.17,0.692
105000,-76.04,6.32,0.0,nan,7.7,0.774
120000,-76.04,6.32,0.0,nan,7.7,0.774
135000,-76.04,6.32,0.0,nan,7.7,0.774
150000,-76.04,6.32,0.0,nan,7.7,0.774
165000,-76.04,6.32,0.0,nan,7.7,0.774
180000,-76.04,6.32,0.0,nan,7.7,0.774
195000,-76.04,6.32,0.0,nan,7.7,0.774
210000,-76.04,6.32,0.0,nan,7.7,0.774
225000,-76.04,6.32,0.0,nan,7.7,0.774
240000,-76.04,6.32,0.0,nan,7.7,0.774
255000,-41.89,1.58,0.0,55.938,3.32,0.89
270000,-38.15,2.2,0.0,56.733,3.66,0.886
285000,-37.08,1.3,0.0,56.224,3.35,0.889
300000,-76.05,6.33,0.0,nan,7.7,0.774
300032,-76.04,6.32,0.0,nan,7.7,0.774
