train/entropy_loss,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/value_loss,train/n_updates,time/fps
-1.6386337280273438,-0.0007126331329345703,-29.978483200073242,51200,100,-69.81311533000002,23,0.0007,108.97,1228.1007080078125,99,2172
-1.918713927268982,-0.0002480745315551758,9.91412353515625,102400,200,-37.16461178,46,0.0007,111.13,198.02598571777344,199,2222
-1.9957250356674194,-7.021427154541016e-05,-1.498494267463684,153600,300,-30.844178790000004,67,0.0007,117.7,189.89120483398438,299,2284
-1.7688982486724854,-1.0013580322265625e-05,5.029429912567139,204800,400,-24.95627776,89,0.0007,137.56,344.982666015625,399,2298
-1.8465068340301514,-1.4543533325195312e-05,-3.121757745742798,256000,500,-22.88279923,111,0.0007,85.03,643.3634643554688,499,2299
