timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-188.62,244.18,0.0,nan,62.0,0.894,0.168
16668,-114.13,62.59,0.0,nan,62.0,0.869,-0.181
33332,-110.68,26.23,0.0,nan,61.79,0.742,-0.425
50000,-12.39,43.35,0.0,2.297,37.8,0.804,-0.418
66664,41.2,130.06,0.0,2.655,56.78,0.786,0.137
83332,189.76,111.85,0.6,4.819,56.58,0.708,0.58
99996,125.25,197.39,0.4,3.242,53.14,0.731,0.733
116664,70.48,130.77,0.1,2.892,46.3,0.76,1.063
133328,216.65,106.63,0.5,3.927,54.12,0.7,1.401
149996,194.23,144.45,0.3,3.091,57.18,0.721,1.357
166660,146.05,184.45,0.3,2.62,45.41,0.749,1.444
183328,318.53,126.25,0.8,2.928,49.38,0.771,1.784
199992,130.61,146.93,0.3,3.423,56.53,0.744,1.671
200000,199.2,143.87,0.5,3.598,51.36,0.753,1.674
