rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/approx_kl
374.4,1,3,-513.095233,4096,1250,,,,,,,,,,
405.7857142857143,2,6,-545.5060135,8192,1266,0.1,0.0003,0.13037109375,0.001611471176147461,859.7190129280091,-0.006611840196273988,-2.30026144310832,323.9051818847656,20,0.0028291692
434.40909090909093,3,9,-490.4741857727274,12288,1277,0.1,0.0003,0.1244384765625,0.18097251653671265,734.2842069625855,-0.00589158505499654,-2.297236081212759,338.2389831542969,40,0.0028976263
457.06451612903226,4,12,-473.1352239032258,16384,1284,0.1,0.0003,0.167724609375,0.4649384617805481,268.8448766708374,-0.008261490648146718,-2.291055905818939,96.8374252319336,60,0.004078439
455.925,5,18,-494.6204027,20480,1096,0.1,0.0003,0.14088134765625,0.6540851593017578,265.53231754302976,-0.007391717589780455,-2.2864898569881915,137.41993713378906,80,0.0031430598
459.24,6,24,-553.99958922,24576,992,0.1,0.0003,0.12457275390625,0.48097532987594604,1388.0239212036133,-0.006550106235954445,-2.28139191493392,500.7127380371094,100,0.0033418974
472.85714285714283,7,30,-542.8102555714286,28672,945,0.1,0.0003,0.07813720703125,0.6415848731994629,1246.666308784485,-0.004252803570125252,-2.283503732830286,513.7567138671875,120,0.0023691766
463.6666666666667,8,36,-513.6169275000001,32768,895,0.1,0.0003,0.07904052734375,0.8018267154693604,283.73999800682066,-0.005749089914024808,-2.2783373817801476,82.81745910644531,140,0.002332017
461.5657894736842,9,42,-489.2355838947368,36864,866,0.1,0.0003,0.12174072265625,0.7641233801841736,524.6416676521301,-0.011234849903121357,-2.2711917370557786,195.49488830566406,160,0.0044686515
456.14285714285717,10,48,-461.9518543809524,40960,841,0.1,0.0003,0.17083740234375,0.7898969650268555,281.86603071689603,-0.007859920306509593,-2.2582604959607124,124.4532470703125,180,0.0033830241
456.4148936170213,11,54,-431.0845053936171,45056,826,0.1,0.0003,0.15283203125,0.8507715463638306,99.46146919727326,-0.009290706666797632,-2.257502303272486,44.010860443115234,200,0.0029272572
461.6,12,60,-408.15342947,49152,813,0.1,0.0003,0.151708984375,0.878436803817749,132.80265939235687,-0.007641570389387198,-2.2508415624499323,42.9051399230957,220,0.0027405052
470.43,13,66,-371.08959092000003,53248,800,0.1,0.0003,0.14637451171875,0.8301976323127747,43.507310807704926,-0.00819977787177777,-2.2402905359864236,22.86568260192871,240,0.0032745013
484.6,14,72,-327.14014123,57344,790,0.1,0.0003,0.19366455078125,0.8980361819267273,67.86934008598328,-0.009456066436541732,-2.2319567523896695,28.922746658325195,260,0.0034587432
479.74,15,78,-306.93080851,61440,780,0.1,0.0003,0.18385009765625,0.877835750579834,186.99382901191711,-0.008771230729325907,-2.2215749554336073,68.88685607910156,280,0.003523645
472.05,16,85,-274.50230587000004,65536,770,0.1,0.0003,0.13751220703125,0.8576989769935608,72.3885203242302,-0.007933236430835678,-2.2123622745275497,31.001461029052734,300,0.0030378166
477.54,17,97,-238.08588848,69632,714,0.1,0.0003,0.1311767578125,0.9233072400093079,58.124765682220456,-0.00781747661640111,-2.215965983271599,24.202116012573242,320,0.0027859455
468.45,18,103,-164.42799398000002,73728,713,0.1,0.0003,0.17298583984375,0.92816162109375,60.20588994026184,-0.010756214815046405,-2.204304989427328,22.754056930541992,340,0.0037989153
469.87,19,109,-128.51642811000002,77824,712,0.1,0.0003,0.17938232421875,0.9133279323577881,49.42169164419174,-0.010268824065860827,-2.195860643684864,17.738510131835938,360,0.0031961189
474.11,20,115,-89.22168582,81920,709,0.1,0.0003,0.17586669921875,0.8688178062438965,65.17304688692093,-0.009637922832189361,-2.1653598129749296,30.89706039428711,380,0.0035594907
489.25,21,121,-62.74172883,86016,705,0.1,0.0003,0.12733154296875,0.8935484290122986,73.38088685274124,-0.008751225926425832,-2.1445515386760237,26.55301856994629,400,0.003254601
497.04,22,128,-44.980755280000004,90112,702,0.1,0.0003,0.16390380859375,0.9026543498039246,56.423549538850786,-0.009643480847444152,-2.126285989582539,19.95456886291504,420,0.0036767798
505.13,23,134,-23.364532020000002,94208,699,0.1,0.0003,0.16221923828125,0.8673760890960693,58.17933737635612,-0.009183357167785289,-2.1148758731782435,22.365503311157227,440,0.0035520652
515.24,24,140,-12.684531399999994,98304,697,0.1,0.0003,0.143603515625,0.9265797734260559,52.74837063550949,-0.00835538303363137,-2.103658862411976,20.18728256225586,460,0.0033175766
514.94,25,146,4.82152964,102400,697,0.1,0.0003,0.17890625,0.9360242486000061,57.83147878050804,-0.008350420848364593,-2.094521076977253,20.537389755249023,480,0.0033489787
518.06,26,152,34.2905328,106496,696,0.1,0.0003,0.1664794921875,0.9059670567512512,85.29865123033524,-0.009182350683840924,-2.0690138816833494,24.74576187133789,500,0.0036949636
511.35,27,158,55.08771706,110592,695,0.1,0.0003,0.1634033203125,0.9047527313232422,112.97998508214951,-0.008051231287390692,-2.0746655017137527,35.090816497802734,520,0.0034157818
509.7,28,165,78.41190139000001,114688,694,0.1,0.0003,0.10394287109375,0.8378426432609558,187.58986575603484,-0.0061221608902997104,-2.0390603691339493,84.0574722290039,540,0.0023181979
513.69,29,171,102.11666622000001,118784,693,0.1,0.0003,0.0931396484375,0.8148292303085327,191.04526965618135,-0.0073349935410078615,-2.044911029934883,74.65425872802734,560,0.0024542804
522.63,30,177,122.55486958000002,122880,693,0.1,0.0003,0.1894287109375,0.874958336353302,146.21978611946105,-0.008726234365894925,-2.015418338403106,53.094947814941406,580,0.003641289
526.98,31,183,154.63765467000002,126976,692,0.1,0.0003,0.1694091796875,0.8310912847518921,176.79376525878905,-0.009096431261423277,-2.024117946997285,51.04505157470703,600,0.003752729
522.05,32,189,180.34191397000006,131072,691,0.1,0.0003,0.13197021484375,0.8835617899894714,152.1256716132164,-0.00676297619502293,-2.0016322802752256,84.38968658447266,620,0.0023827767
525.55,33,199,196.62933259999994,135168,677,0.1,0.0003,0.1436767578125,0.8273108005523682,107.52575328350068,-0.006916013123918674,-1.9837821539491416,44.77024459838867,640,0.0026422674
516.81,34,206,206.94960642,139264,675,0.1,0.0003,0.16209716796875,0.7398602962493896,120.19584976434707,-0.006555402851518011,-1.9541647356003522,44.41357421875,660,0.0035606134
504.27,35,212,227.42328369999996,143360,675,0.1,0.0003,0.11817626953125,0.7262647151947021,150.1396827697754,-0.005976459957309999,-1.9764100521802903,39.18648147583008,680,0.0027266308
494.54,36,218,248.47203783,147456,674,0.1,0.0003,0.14796142578125,0.7864201068878174,122.26805993318558,-0.008533329915371724,-1.9940936174243689,50.636688232421875,700,0.0031344611
484.84,37,224,255.66851659000008,151552,673,0.1,0.0003,0.19285888671875,0.9047598242759705,34.9322673201561,-0.0068580740466131825,-1.9705805405974388,13.495514869689941,720,0.0034013474
479.14,38,231,274.98200618000004,155648,673,0.1,0.0003,0.18802490234375,0.8893862366676331,48.55484921336174,-0.008221069664432434,-1.9507740780711174,16.574033737182617,740,0.0031374474
473.08,39,237,286.67875052,159744,672,0.1,0.0003,0.1266357421875,0.8422067761421204,100.15156481266021,-0.007264940131426556,-1.949663269519806,40.96902847290039,760,0.0029698662
474.02,40,243,304.06579632,163840,672,0.1,0.0003,0.13525390625,0.823756217956543,137.90740060806274,-0.004900837700552075,-1.9249914959073067,29.592477798461914,780,0.0033065593
462.53,41,249,326.15322376000006,167936,672,0.1,0.0003,0.15531005859375,0.9259355068206787,32.101715660095216,-0.00649241642713605,-1.9132586613297462,10.735176086425781,800,0.0030907588
459.27,42,256,340.96099918,172032,670,0.1,0.0003,0.17513427734375,0.9645921587944031,20.769357478618623,-0.0077055444053257816,-1.9011859860271216,7.7165422439575195,820,0.0038207623
455.77,43,262,346.65855156,176128,670,0.1,0.0003,0.170654296875,0.9153916835784912,67.97013575434684,-0.005915517602988985,-1.8864050518721343,33.91423416137695,840,0.0028051292
447.17,44,268,363.1774774499999,180224,670,0.1,0.0003,0.1800048828125,0.9395062923431396,25.72601805627346,-0.008430440438678488,-1.8891060836613178,9.44858169555664,860,0.0038023996
