timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-495.71,333.51,0.0,nan,39.02,0.759
20000,-495.04,68.95,0.0,nan,20.74,0.817
30000,-187.1,175.24,0.0,nan,55.75,0.844
40000,-117.33,31.19,0.0,nan,59.31,0.829
50000,-106.59,21.48,0.0,nan,61.22,0.852
60000,-111.63,67.77,0.0,nan,62.0,0.883
70000,-196.62,163.4,0.0,2.689,62.0,0.841
80000,-292.02,164.17,0.0,2.591,62.0,0.844
90000,-204.48,199.6,0.0,2.591,62.0,0.84
100000,-200.05,200.48,0.0,2.591,62.0,0.84
110000,-130.99,128.56,0.0,2.652,62.0,0.828
120000,-116.79,80.21,0.0,2.506,58.23,0.824
130000,-91.55,88.89,0.0,2.591,62.0,0.835
140000,-58.32,75.91,0.0,2.591,62.0,0.83
150000,-40.76,125.78,0.1,2.601,61.95,0.812
160000,-48.29,69.49,0.0,2.517,59.97,0.813
170000,83.83,125.17,0.1,2.468,59.07,0.789
180000,-45.46,127.17,0.0,2.608,62.0,0.829
190000,15.02,111.14,0.0,2.42,62.0,0.811
200000,-20.1,98.43,0.0,2.567,62.0,0.815
200704,-22.02,102.35,0.0,2.586,62.0,0.818
