time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance
659,374.4,4096,6,1,-513.095233,,,,,,,,,,
715,408.0,8192,11,2,-500.3145382,-0.008700816598138771,0.01098437,10,119.28853607177734,297.6430041313171,-2.2964886680245398,0.2,0.0003,0.0585205078125,0.0024160146713256836
704,396.4166666666667,12288,17,3,-412.77361733333333,-0.009718242300732528,0.01270505,20,72.16218566894531,176.1252872467041,-2.2858261197805403,0.2,0.0003,0.1016845703125,0.07823240756988525
722,402.72222222222223,16384,22,4,-396.0922511666667,-0.013832420902326703,0.013494863,30,45.563297271728516,94.17594769001008,-2.2662828460335733,0.2,0.0003,0.167529296875,0.40033411979675293
612,376.0204081632653,20480,33,5,-372.59378944897963,-0.006587988299725111,0.011583534,40,160.43960571289062,257.8465126991272,-2.2577033385634424,0.2,0.0003,0.0353515625,0.4942048192024231
644,381.5,24576,38,6,-390.2725716166667,-0.012508149538189173,0.011129979,50,19.184234619140625,83.43279405832291,-2.2186154171824457,0.2,0.0003,0.101904296875,0.6137490272521973
664,390.6764705882353,28672,43,7,-388.71400055882344,-0.005733934315503575,0.009205632,60,52.491329193115234,121.46769261360168,-2.219012452661991,0.2,0.0003,0.0253662109375,0.7684104442596436
608,404.3066666666667,32768,53,8,-412.7453190666666,-0.007321468232839834,0.008698083,70,28.22551918029785,58.28815762996673,-2.2029823079705237,0.2,0.0003,0.0471923828125,0.8191880583763123
623,401.1954022988506,36864,59,9,-420.5511331839082,-0.005813907383708283,0.00916879,80,40.685890197753906,124.9709128856659,-2.2045724868774412,0.2,0.0003,0.04345703125,0.825016975402832
598,400.59375,40960,68,10,-415.43744577083334,-0.008754487996338867,0.0068123396,90,25.55483627319336,85.77856822013855,-2.2247065544128417,0.2,0.0003,0.0357666015625,0.8448973894119263
609,411.33,45056,73,11,-394.72592884,-0.011896744469413533,0.007409704,100,42.3499755859375,112.0545324087143,-2.2156541258096696,0.2,0.0003,0.072265625,0.7653110027313232
619,421.74,49152,79,12,-369.57973127,-0.009328487337916158,0.011848643,110,20.86368751525879,35.59071473479271,-2.176085336506367,0.2,0.0003,0.112109375,0.8079516887664795
583,431.24,53248,91,13,-357.5657597900001,-0.013525787456455874,0.011399116,120,14.911869049072266,31.817198628187178,-2.191167852282524,0.2,0.0003,0.117041015625,0.8919212222099304
593,441.45,57344,96,14,-364.32123573999996,-0.01012495745671913,0.008434175,130,15.571802139282227,34.06160105466843,-2.1651977807283402,0.2,0.0003,0.089306640625,0.8502655625343323
570,449.49,61440,107,15,-359.99173753,-0.008726124264649115,0.009485451,140,19.435941696166992,46.22580168247223,-2.169725216925144,0.2,0.0003,0.0637451171875,0.8807095885276794
579,465.87,65536,113,16,-366.6091012400001,-0.007414975213032448,0.009725098,150,35.46852493286133,80.96611104011535,-2.125920723378658,0.2,0.0003,0.0594970703125,0.7969615459442139
588,481.24,69632,118,17,-367.39012262999995,-0.011044103642052504,0.011114513,160,16.201251983642578,42.029752099514006,-2.11154505610466,0.2,0.0003,0.115576171875,0.8717758059501648
572,486.65,73728,128,18,-336.94121920000003,-0.011385276418877766,0.010893497,170,8.959582328796387,19.95236266851425,-2.135567308962345,0.2,0.0003,0.1184814453125,0.9037797451019287
580,485.15,77824,134,19,-283.96591624,-0.01244812808727147,0.009993375,180,23.12455940246582,34.25360844731331,-2.1039904311299322,0.2,0.0003,0.119091796875,0.778548538684845
569,485.24,81920,143,20,-253.3448415,-0.008459774855873547,0.0087545775,190,21.62867546081543,33.48412302732468,-2.0786122411489485,0.2,0.0003,0.079052734375,0.696036159992218
576,501.06,86016,149,21,-225.59223159,-0.010465444602596108,0.009853404,200,14.507119178771973,22.60444656610489,-2.085958090424538,0.2,0.0003,0.093408203125,0.8559960722923279
565,515.03,90112,159,22,-206.3325442,-0.01091184506949503,0.008981461,210,44.50331497192383,63.96458910703659,-2.0515312999486923,0.2,0.0003,0.0628662109375,0.7685632109642029
572,513.12,94208,164,23,-202.73653387,-0.012363336673297453,0.010814633,220,11.262215614318848,25.2473442196846,-2.0252884820103647,0.2,0.0003,0.088134765625,0.8860747814178467
579,505.93,98304,169,24,-193.87167849999994,-0.011729555804049597,0.010850556,230,15.919987678527832,38.65319541692734,-2.009150990843773,0.2,0.0003,0.09951171875,0.693051278591156
565,503.62,102400,181,25,-180.15095364,-0.00477163365285378,0.0054689487,240,9.296875,43.287089335918424,-1.9604196205735207,0.2,0.0003,0.035107421875,0.6625523567199707
570,500.15,106496,186,26,-164.82950406,-0.018658480283920652,0.011396314,250,10.215660095214844,22.31135606765747,-1.9569096378982067,0.2,0.0003,0.165966796875,0.8883672952651978
561,496.32,110592,196,27,-135.17848243,-0.007675842016760725,0.007559478,260,18.93084716796875,74.13979853391648,-1.8917060494422913,0.2,0.0003,0.0524169921875,0.5948866605758667
570,504.44,114688,200,28,-129.06532807,-0.0075352045634645036,0.006745779,270,8.459442138671875,39.95590205192566,-2.0125349164009094,0.2,0.0003,0.0658203125,0.8328685164451599
576,499.85,118784,205,29,-126.57078867,-0.010472755105001851,0.008577604,280,16.734966278076172,25.964209294319154,-1.9795010276138783,0.2,0.0003,0.0867431640625,0.9319252967834473
566,499.59,122880,216,30,-96.57125201000001,-0.007220607420458691,0.00560392,290,30.418943405151367,70.35159109830856,-1.8563200607895851,0.2,0.0003,0.04541015625,0.8012880682945251
572,501.33,126976,221,31,-92.68974477,-0.007723150351375807,0.010447606,300,12.233846664428711,52.21287429332733,-1.8703371942043305,0.2,0.0003,0.0529296875,0.7135833501815796
559,498.96,131072,234,32,-85.50930715,-0.008119431464001537,0.0070496863,310,38.516990661621094,59.513425981998445,-1.9543163284659386,0.2,0.0003,0.043017578125,0.6073604822158813
564,499.57,135168,239,33,-72.43784941999999,-0.007089801190159051,0.007568405,320,21.263614654541016,40.82860907912254,-1.9589846707880496,0.2,0.0003,0.067529296875,0.6108169555664062
568,499.89,139264,244,34,-53.986539490000006,-0.0079729447432328,0.009576662,330,13.111390113830566,50.34485808610916,-1.9640619896352292,0.2,0.0003,0.0745361328125,0.6392046213150024
559,493.3,143360,256,35,-24.909471210000007,-0.009536836728511845,0.010182511,340,22.87606430053711,53.60583900213241,-1.9716069631278514,0.2,0.0003,0.1026611328125,0.5397504568099976
