timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-548.64,701.27,0.0,nan,24.14,0.863
20000,-558.91,704.14,0.0,6.997,50.42,0.847
30000,-889.0,737.35,0.0,nan,58.13,0.737
40000,-1324.95,774.39,0.0,nan,46.31,0.788
50000,-147.8,88.1,0.0,2.717,62.0,0.86
60000,-184.6,153.79,0.0,2.701,62.0,0.774
70000,-72.95,52.08,0.0,2.541,62.0,0.761
80000,-56.81,43.83,0.0,2.042,62.0,0.778
90000,10.44,5.6,0.0,2.313,62.0,0.748
100000,101.28,127.2,0.1,2.056,59.26,0.743
110000,356.76,154.47,0.8,2.173,43.35,0.771
120000,366.01,118.65,0.8,2.37,42.22,0.772
130000,373.34,86.82,0.8,2.428,44.52,0.766
140000,416.2,11.27,1.0,2.426,41.7,0.769
150000,424.5,11.31,1.0,2.333,39.15,0.777
160000,412.71,12.39,1.0,2.498,39.27,0.774
170000,417.41,14.17,1.0,2.44,39.11,0.775
180000,411.54,24.93,1.0,2.484,39.15,0.776
190000,423.26,22.43,1.0,2.357,38.94,0.78
200000,424.81,17.35,1.0,2.351,38.99,0.782
200704,424.86,18.61,1.0,2.354,39.05,0.781
