train/learning_rate,time/total_timesteps,train/policy_loss,train/entropy_loss,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean
0.0003,12800,-24.73124122619629,-2.2923636436462402,12,1055,468.74249267578125,-0.03165841102600098,99,-365.28179550000004,100,436.0416666666667
0.0003,25600,-14.335776329040527,-2.2737934589385986,21,1211,155.3727264404297,-0.0009990930557250977,199,-396.43807854545446,200,431.94545454545454
0.0003,38400,-6.879840850830078,-2.2531168460845947,31,1212,51.70916748046875,-0.021273016929626465,299,-432.1566244767441,300,426.0581395348837
0.0003,51200,1.8094203472137451,-2.236971378326416,46,1110,270.9427490234375,-0.00044417381286621094,399,-402.63615344000004,400,410.98
0.0003,64000,-0.1815386861562729,-2.22253680229187,54,1167,7.15740442276001,-1.5139579772949219e-05,499,-405.74498323,500,390.1
0.0003,76800,-10.085528373718262,-2.2253708839416504,62,1221,65.01386260986328,0.00011944770812988281,599,-354.21420731000006,600,387.35
0.0003,89600,1.5021119117736816,-2.1647112369537354,71,1261,103.18826293945312,3.343820571899414e-05,699,-353.38371267,700,406.32
0.0003,102400,13.82828140258789,-2.106557846069336,84,1210,475.02740478515625,-4.076957702636719e-05,799,-248.07387174000004,800,373.78
0.0003,115200,-0.6515394449234009,-2.056412935256958,92,1243,7.940009117126465,-0.0003877878189086914,899,-140.30323994999998,900,286.63
0.0003,128000,-1.5087603330612183,-2.09641695022583,101,1266,14.74589729309082,1.7344951629638672e-05,999,-142.84418742,1000,289.73
0.0003,140800,-13.842753410339355,-2.175586700439453,117,1201,194.58921813964844,-1.7881393432617188e-05,1099,-180.80691882,1100,315.5
0.0003,153600,-1.3059501647949219,-2.087634325027466,128,1194,13.713342666625977,-0.00027310848236083984,1199,-220.5655263,1200,355.65
0.0003,166400,7.723919868469238,-2.043292999267578,139,1193,173.9170684814453,1.2516975402832031e-06,1299,-178.59646346999997,1300,371.98
0.0003,179200,-13.546236991882324,-2.1217126846313477,150,1191,163.389404296875,-3.528594970703125e-05,1399,-164.01486473999998,1400,401.27
0.0003,192000,0.8847101926803589,-2.1121883392333984,167,1148,5.033637046813965,-6.186962127685547e-05,1499,-185.81423608,1500,446.53
