timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-289.46,669.38,0.0,nan,15.44,0.854
10000,-691.06,151.91,0.0,nan,27.48,0.833
20000,-691.06,151.91,0.0,nan,27.48,0.833
30000,-631.76,195.64,0.0,nan,25.77,0.842
40000,-627.64,197.48,0.0,nan,25.67,0.843
50000,-695.27,154.78,0.0,nan,27.83,0.833
60000,-140.58,164.99,0.0,nan,12.4,0.917
70000,-188.62,244.18,0.0,nan,62.0,0.894
80000,-188.62,244.18,0.0,nan,62.0,0.894
90000,-188.62,244.18,0.0,nan,62.0,0.894
100000,-188.62,244.18,0.0,nan,62.0,0.894
110000,-741.98,194.67,0.0,nan,31.2,0.829
120000,-224.95,245.8,0.0,nan,61.17,0.889
130000,-188.62,244.18,0.0,nan,62.0,0.894
140000,-71.23,28.77,0.0,2.488,37.81,0.899
150000,-129.98,63.05,0.0,nan,47.17,0.906
160000,-104.46,27.03,0.0,nan,49.31,0.885
170000,-110.71,49.9,0.0,nan,47.29,0.905
180000,-100.58,49.44,0.0,nan,39.33,0.911
190000,-185.66,234.49,0.0,nan,62.0,0.894
200000,-182.91,227.82,0.0,nan,62.0,0.894
200192,-167.02,180.22,0.0,nan,62.0,0.893
