train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/policy_loss,time/iterations,train/value_loss,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/explained_variance,train/learning_rate
99,-262.73718618032785,19,1305,-6.505293369293213,100,25.423969268798828,381.6885245901639,25600,-2.278825283050537,-0.2143169641494751,0.0003
199,-209.1660899,43,1176,-16.634666442871094,200,201.25961303710938,323.47,51200,-2.2592673301696777,0.0031377077102661133,0.0003
299,-314.70499450999995,62,1222,-7.805421829223633,300,102.47573852539062,332.69,76800,-2.2516400814056396,-0.011504054069519043,0.0003
399,-256.23515021,82,1239,-36.703800201416016,400,2350.280029296875,244.44,102400,-2.1809802055358887,-0.000950932502746582,0.0003
499,-305.41746514,104,1228,-50.04269027709961,500,2141.85986328125,204.15,128000,-1.5137156248092651,-0.00032889842987060547,0.0003
599,-399.38998525000005,129,1182,-45.82777404785156,600,3508.46337890625,207.78,153600,-1.241655707359314,0.00013953447341918945,0.0003
699,-409.0429972999999,151,1185,-36.488399505615234,700,1836.703369140625,213.59,179200,-1.5576648712158203,0.0001327991485595703,0.0003
