timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-626.92,469.17,0.0,nan,50.41,0.7
20000,-766.74,146.87,0.0,nan,22.17,0.878
30000,-188.62,244.18,0.0,nan,62.0,0.894
40000,-188.62,244.18,0.0,nan,62.0,0.894
50000,-188.62,244.18,0.0,nan,62.0,0.894
60000,-188.62,244.18,0.0,nan,62.0,0.894
70000,-188.62,244.18,0.0,nan,62.0,0.894
80000,-188.62,244.18,0.0,nan,62.0,0.894
90000,-188.62,244.18,0.0,nan,62.0,0.894
100000,-145.89,139.05,0.0,nan,62.0,0.892
110000,-164.59,187.27,0.0,nan,62.0,0.893
120000,-325.07,288.04,0.0,2.271,62.0,0.84
130000,-266.34,390.81,0.0,2.668,62.0,0.86
140000,-217.24,331.33,0.1,2.48,59.91,0.847
150000,-125.97,84.47,0.0,nan,62.0,0.89
160000,19.23,101.94,0.0,2.49,62.0,0.839
170000,-47.58,96.11,0.0,2.567,62.0,0.831
180000,-37.15,106.67,0.0,2.435,62.0,0.864
190000,-170.07,290.85,0.1,2.529,59.18,0.852
200000,-75.99,150.89,0.0,2.606,62.0,0.836
200064,-92.22,193.04,0.0,2.574,62.0,0.842
