train/learning_rate,time/total_timesteps,train/policy_loss,train/entropy_loss,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean
0.0007,6400,-7.000879287719727,-1.7403723001480103,4,1443,40.19377899169922,-0.0026129484176635742,99,-276.8022840588235,100,282.11764705882354
0.0007,12800,-4.468034267425537,-0.7625918984413147,12,1025,325.19964599609375,0.001209855079650879,199,-341.33865408888886,200,266.6
0.0007,19200,-0.4205949902534485,-0.541067898273468,15,1253,44.5859260559082,0.003106534481048584,299,-336.0728725384616,300,238.6153846153846
0.0007,25600,0.06687107682228088,-0.29464560747146606,22,1153,1.2368273735046387,0.0035613179206848145,399,-316.47459119999996,400,222.49
0.0007,32000,-0.8962147831916809,-0.4478461742401123,29,1069,364.729736328125,0.00046956539154052734,499,-321.21631869,500,203.91
0.0007,38400,-0.13134603202342987,-0.10474471747875214,33,1143,88.1561508178711,0.0019555091857910156,599,-346.08360523999994,600,219.23
0.0007,44800,-0.23236246407032013,-0.26697295904159546,41,1083,101.10311889648438,0.26181602478027344,699,-367.68794979000006,700,240.06
0.0007,51200,-1.8482301235198975,-0.03619677573442459,48,1054,40.371788024902344,0.6718751192092896,799,-390.74695929000006,800,255.6
0.0007,57600,-0.02363649196922779,-0.02226404659450054,51,1119,195.5560302734375,0.055016934871673584,899,-414.18654172000004,900,282.32
0.0007,64000,-0.007941956631839275,-0.021460704505443573,59,1073,35.65298843383789,0.10789716243743896,999,-440.9578905999999,1000,306.85
0.0007,70400,-0.007795486133545637,-0.026283152401447296,67,1050,9.206336975097656,0.9813105463981628,1099,-447.75348208,1100,343.86
0.0007,76800,-0.01604524813592434,-0.0376872681081295,69,1099,34.095909118652344,0.8837090730667114,1199,-474.10772788,1200,361.13
0.0007,83200,-0.004396039992570877,-0.015226555988192558,77,1068,17.14083480834961,0.8928993940353394,1299,-502.9815715,1300,377.8
0.0007,89600,-0.0060952045023441315,-0.015928221866488457,80,1107,26.97803497314453,0.9439912438392639,1399,-526.93757584,1400,405.51
0.0007,96000,-0.00795350968837738,-0.02411600947380066,87,1091,29.815589904785156,0.9473624229431152,1499,-544.82616908,1500,426.9
0.0007,102400,-0.005985825322568417,-0.012056944891810417,95,1076,77.89981079101562,0.9258536696434021,1599,-531.1434177699999,1600,428.53
0.0007,108800,-0.007694638334214687,-0.02612941712141037,98,1109,47.908668518066406,0.29958415031433105,1699,-542.85799974,1700,440.89
0.0007,115200,-0.0009052705718204379,-0.005457395222038031,106,1078,17.57291030883789,0.9787144660949707,1799,-562.63702973,1800,446.74
0.0007,121600,-0.0005601032171398401,-0.0025197318755090237,114,1065,32.283851623535156,0.9723223447799683,1899,-552.90828794,1900,447.22
0.0007,128000,-0.0013711708597838879,-0.003612953471019864,117,1093,29.480897903442383,0.9825479984283447,1999,-520.3766440300001,2000,447.33
0.0007,134400,-0.0008228746592067182,-0.0025689571630209684,124,1077,81.14244842529297,0.9545471668243408,2099,-500.55577366,2100,438.41
0.0007,140800,-0.001519348006695509,-0.0034229184966534376,132,1060,108.88314056396484,0.9508498907089233,2199,-505.0469076300001,2200,442.25
0.0007,147200,-0.0021747779101133347,-0.005085653625428677,135,1085,33.933475494384766,0.9814327955245972,2299,-514.17516067,2300,439.14
0.0007,153600,-0.0006820960552431643,-0.002503977855667472,142,1077,62.1002311706543,0.9632075428962708,2399,-501.10114261999996,2400,425.76
0.0007,160000,-0.000481960189063102,-0.0036174138076603413,149,1067,17.85953712463379,0.9480071067810059,2499,-481.23519503000006,2500,413.55
0.0007,166400,-0.0006866761250421405,-0.003362281247973442,153,1082,60.898460388183594,0.9368041753768921,2599,-488.24559141000015,2600,412.61
0.0007,172800,-0.0005309534608386457,-0.0024371398612856865,161,1071,40.9550666809082,0.997008740901947,2699,-495.62589044999993,2700,420.79
0.0007,179200,-0.00022666979930363595,-0.0019821831956505775,164,1090,37.41395568847656,0.9848143458366394,2799,-510.38344784000003,2800,428.09
0.0007,185600,-0.0006492716493085027,-0.001648889621719718,171,1082,66.29367065429688,0.9650946855545044,2899,-529.76329859,2900,432.85
0.0007,192000,0.007015623617917299,-0.006750846281647682,179,1068,1154.60888671875,0.6838881373405457,2999,-552.9317919199999,3000,436.95
0.0007,198400,-0.0003290052409283817,-0.0035438728518784046,182,1086,103.49882507324219,0.9856479167938232,3099,-533.6275991499999,3100,441.41
