timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-146.32,171.88,0.0,nan,55.0,0.899,0.168
10000,-146.32,171.88,0.0,nan,55.0,0.899,0.168
20000,-320.51,258.15,0.0,2.947,50.84,0.786,-0.178
30000,-329.56,330.27,0.0,6.195,52.08,0.757,-0.489
40000,-391.66,308.86,0.0,nan,42.47,0.795,0.124
50000,-56.87,62.84,0.0,3.94,48.9,0.761,0.736
60000,-23.75,131.94,0.0,2.638,35.1,0.831,1.569
70000,-17.93,39.03,0.0,1.857,30.43,0.765,2.528
80000,117.58,55.18,0.0,2.577,53.05,0.774,3.095
90000,-101.84,51.03,0.0,3.411,41.69,0.762,3.677
100000,-39.68,59.22,0.0,4.47,55.0,0.737,4.243
110000,125.6,53.55,0.0,2.812,55.0,0.704,4.578
120000,-96.31,95.68,0.0,2.067,52.67,0.706,5.317
130000,31.94,30.17,0.0,1.772,29.17,0.792,6.33
140000,14.29,75.32,0.0,1.851,49.53,0.703,7.559
150000,-48.92,84.03,0.0,3.52,52.12,0.738,8.101
160000,-103.05,23.1,0.0,nan,52.41,0.745,8.487
170000,-68.41,32.05,0.0,2.506,40.87,0.792,8.551
180000,-31.02,73.92,0.0,2.116,55.0,0.734,8.884
190000,-15.08,65.42,0.0,2.391,47.65,0.78,9.161
200000,-94.54,59.23,0.0,2.782,55.0,0.779,9.603
200000,-95.42,58.98,0.0,2.735,55.0,0.777,9.646
