timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-76.36,24.38,0.0,61.506,2.65,0.899
15000,-76.04,6.32,0.0,nan,7.7,0.774
30000,-76.04,6.32,0.0,nan,7.7,0.774
45000,-76.04,6.32,0.0,nan,7.7,0.774
60000,-76.04,6.32,0.0,nan,7.7,0.774
75000,-42.57,5.94,0.0,nan,8.82,0.697
90000,-42.0,5.6,0.0,nan,8.48,0.708
105000,-71.51,2.59,0.0,nan,3.06,0.885
120000,-71.51,2.59,0.0,nan,3.06,0.885
135000,-71.51,2.59,0.0,nan,3.06,0.885
150000,-71.51,2.59,0.0,nan,3.06,0.885
165000,-49.18,14.39,0.0,nan,6.53,0.791
180000,-42.49,5.57,0.0,nan,8.49,0.703
195000,-55.85,9.12,0.0,nan,5.51,0.819
210000,-42.36,5.39,0.0,nan,9.26,0.697
225000,-40.56,7.38,0.0,nan,9.4,0.703
240000,-41.7,14.18,0.0,nan,9.91,0.714
255000,-40.48,14.0,0.0,nan,10.2,0.712
270000,-56.7,5.11,0.0,nan,8.19,0.754
285000,-68.83,5.76,0.0,nan,7.94,0.766
300000,-54.28,6.22,0.0,nan,10.25,0.714
300000,-54.28,6.22,0.0,nan,10.25,0.714
