timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left
0,-458.31,69.84,0.0,nan,17.1,0.887
10000,-630.39,536.11,0.0,12.543,34.99,0.865
20000,-901.32,775.08,0.0,5.84,41.29,0.842
30000,-425.16,412.55,0.0,1.978,52.88,0.67
40000,-489.3,295.03,0.0,2.487,51.76,0.72
50000,-77.65,49.53,0.0,2.27,40.73,0.723
60000,-44.04,68.05,0.0,2.23,45.68,0.682
70000,-52.31,40.08,0.0,1.82,28.09,0.799
80000,-35.92,93.05,0.0,2.464,40.76,0.738
90000,-62.2,195.84,0.0,2.237,36.61,0.769
100000,-1.64,274.57,0.1,2.172,35.68,0.774
110000,351.45,117.28,0.8,2.318,42.5,0.723
120000,161.0,121.93,0.2,2.593,40.98,0.741
130000,51.19,133.42,0.1,2.732,45.26,0.716
140000,333.4,164.54,0.8,2.159,34.45,0.755
150000,395.36,78.96,0.9,2.161,34.4,0.75
160000,374.7,99.83,0.9,2.32,35.34,0.744
170000,203.95,197.23,0.5,2.039,30.06,0.774
180000,218.72,178.04,0.5,2.616,35.85,0.74
190000,264.95,182.42,0.6,2.14,29.41,0.779
200000,227.04,188.73,0.5,2.074,28.85,0.779
200704,242.88,219.75,0.6,2.433,35.56,0.744
