time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/loss
4096,3,-513.095233,374.4,1188,1,,,,,,,,,,
8192,5,-496.4114257142856,417.7857142857143,1402,2,-2.2938488349318504,0.2,0.1164794921875,0.011774208,-0.01210155888402369,0.001,10,767.800444984436,0.001611471176147461,194.65135192871094
12288,11,-478.76991266666676,467.6666666666667,1110,3,-2.278716671466827,0.2,0.106396484375,0.0116039775,-0.011812201963039115,0.001,20,516.8000165939332,0.40120214223861694,198.1317901611328
16384,13,-539.549364137931,494.6551724137931,1214,4,-2.256289339065552,0.2,0.05908203125,0.010311965,-0.008855789181689033,0.001,30,328.3484690666199,0.7169221043586731,67.36128234863281
20480,19,-474.06567844444453,501.6666666666667,1035,5,-2.252746471762657,0.2,0.08447265625,0.009544423,-0.010584344202652574,0.001,40,477.8049617767334,0.7518943548202515,163.78761291503906
24576,22,-492.0887437826087,495.4782608695652,1110,6,-2.2471701100468637,0.2,0.1134765625,0.010666161,-0.013356542133260518,0.001,50,544.0491596221924,0.7787456512451172,210.59359741210938
28672,24,-456.88021022641516,487.811320754717,1172,7,-2.234998086094856,0.2,0.1294921875,0.015605433,-0.012230668726260774,0.001,60,277.4430513381958,0.8743007183074951,97.23804473876953
32768,32,-425.53260796666666,490.48333333333335,1023,8,-2.2270648017525674,0.2,0.179638671875,0.011744928,-0.015963290123909245,0.001,70,118.03975148200989,0.9148788452148438,51.438541412353516
36864,34,-402.109216,497.54285714285714,1070,9,-2.2018717020750045,0.2,0.2095947265625,0.015277082,-0.021072748091683025,0.001,80,148.16277651786805,0.8921669721603394,48.24786376953125
40960,41,-392.1819170769231,504.78205128205127,989,10,-2.187182219326496,0.2,0.1825927734375,0.015809253,-0.016514041970367543,0.001,90,119.45491435527802,0.84457927942276,42.89674377441406
45056,44,-380.8281375180723,511.72289156626505,1022,11,-2.188178627192974,0.2,0.1642578125,0.014648974,-0.016174169490113854,0.001,100,179.57406458854675,0.8967599272727966,78.05650329589844
49152,46,-366.4639011444445,520.1444444444444,1049,12,-2.1821097522974013,0.2,0.166455078125,0.013420381,-0.017502296259044668,0.001,110,111.6571916103363,0.8944262266159058,43.69459915161133
53248,54,-351.5012271546393,526.1649484536083,968,13,-2.173383951187134,0.2,0.1546875,0.0133871455,-0.012600283557549118,0.001,120,54.22567340135574,0.8478136658668518,20.815208435058594
57344,57,-318.20911113,533.16,1000,14,-2.1485612809658052,0.2,0.1438232421875,0.013049822,-0.013421654913690873,0.001,130,87.54772820472718,0.9236007928848267,33.96163558959961
61440,64,-292.05288812,537.56,956,15,-2.135038414597511,0.2,0.20078125,0.015280388,-0.016947413381421937,0.001,140,53.792471730709075,0.9201678037643433,16.968870162963867
65536,68,-256.09458881,520.0,960,16,-2.137615843117237,0.2,0.2449951171875,0.022267718,-0.018064304909785278,0.001,150,32.81419389247894,0.9431323409080505,12.792058944702148
69632,73,-215.93061498999995,513.83,946,17,-2.1189547955989836,0.2,0.183837890625,0.015698723,-0.017461010722036006,0.001,160,92.85627346038818,0.909201979637146,41.307708740234375
73728,81,-179.23244141999996,512.35,908,18,-2.111836391687393,0.2,0.145263671875,0.0123347035,-0.01712329385773046,0.001,170,50.56183638572693,0.896425724029541,13.956708908081055
77824,86,-151.98612903999998,517.5,899,19,-2.0872952580451964,0.2,0.1510986328125,0.01439905,-0.016346699709538372,0.001,180,51.54783866405487,0.9352710247039795,18.754743576049805
81920,96,-131.06839537,530.71,847,20,-2.046059687435627,0.2,0.1382080078125,0.012151785,-0.012936237486428581,0.001,190,48.72891290187836,0.9128366112709045,13.304254531860352
86016,102,-100.82691788,522.76,842,21,-2.04930144995451,0.2,0.1699462890625,0.014406554,-0.01364472488494357,0.001,200,39.780470275878905,0.9362033605575562,12.008758544921875
90112,113,-85.70589166000002,527.34,793,22,-2.0184398919343947,0.2,0.2154296875,0.020871209,-0.015411995025351644,0.001,210,48.417784452438354,0.941429615020752,22.56890296936035
94208,120,-44.980741210000005,522.41,779,23,-2.0126045450568197,0.2,0.14990234375,0.011772843,-0.01214800360321533,0.001,220,103.96114349365234,0.8396227359771729,13.736068725585938
98304,126,-16.6116274,518.33,777,24,-1.9741223528981209,0.2,0.13583984375,0.01353588,-0.009665710206900258,0.001,230,191.97424411773682,0.7237433195114136,76.05517578125
102400,139,6.201416930000004,508.57,736,25,-1.9583654880523682,0.2,0.1474609375,0.011962159,-0.009463885831064545,0.001,240,86.20219259262085,0.8942501544952393,22.080310821533203
106496,145,46.67902418,504.26,733,26,-1.9451140284538269,0.2,0.1227783203125,0.012622584,-0.008043285011081026,0.001,250,110.4692325592041,0.9247427582740784,39.804325103759766
110592,156,69.25566961999999,516.74,706,27,-1.929360354691744,0.2,0.1130859375,0.012564042,-0.009681931578961666,0.001,260,135.26372134685516,0.9046637415885925,58.528564453125
114688,163,107.99780521000001,519.78,701,28,-1.889647013694048,0.2,0.14755859375,0.013935957,-0.01155972626293078,0.001,270,103.56478052139282,0.9477221965789795,28.704578399658203
118784,168,134.98908387,513.01,704,29,-1.8293022878468037,0.2,0.16220703125,0.016697701,-0.013084010456805118,0.001,280,90.45689363479615,0.899103581905365,25.09908676147461
122880,181,169.25841250000002,513.22,676,30,-1.819544207304716,0.2,0.164990234375,0.016212944,-0.009438221224263544,0.001,290,57.47214328050613,0.9553786516189575,12.20791244506836
126976,187,203.36078335000002,494.17,675,31,-1.773465872555971,0.2,0.18525390625,0.010972458,-0.008211636950727552,0.001,300,38.50602393150329,0.9453219771385193,13.325357437133789
131072,200,235.15417984999996,486.89,652,32,-1.7680096231400966,0.2,0.1472412109375,0.011368001,-0.01126614385721041,0.001,310,105.36221721172333,0.8745200037956238,33.02109909057617
135168,206,262.86609295,472.99,655,33,-1.7731073468923568,0.2,0.15458984375,0.01559946,-0.0100026325431827,0.001,320,54.667685663700105,0.9495528340339661,26.905237197875977
139264,212,277.42557993,459.56,656,34,-1.7495385646820067,0.2,0.153271484375,0.0147876255,-0.007263375927141169,0.001,330,67.84302908182144,0.9625788331031799,35.262996673583984
143360,224,296.20092124999996,443.16,637,35,-1.7467514179646968,0.2,0.1460205078125,0.012989022,-0.01155132564563246,0.001,340,45.12353893518448,0.9572920799255371,11.108505249023438
147456,230,309.28745661,431.76,639,36,-1.6873754389584064,0.2,0.1730224609375,0.020185422,-0.011448477546218782,0.001,350,133.4572259902954,0.8521726131439209,32.325504302978516
151552,243,331.63718377000004,412.87,622,37,-1.6660166017711162,0.2,0.19072265625,0.015640803,-0.008595398186298554,0.001,360,30.147750306129456,0.8916677236557007,8.01722526550293
155648,248,338.84868162,404.06,625,38,-1.656952153891325,0.2,0.1747314453125,0.014544519,-0.011109276808565483,0.001,370,19.218866735696793,0.9602192640304565,5.607595443725586
159744,254,354.01628365,398.5,628,39,-1.61859847381711,0.2,0.20126953125,0.017113214,-0.004748567302158335,0.001,380,14.293026560544968,0.9713846445083618,6.004798889160156
