timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-81.03,3.3,0.0,nan,2.17,0.916,0.129
15000,-76.04,6.32,0.0,nan,7.7,0.774,-1.193
30000,-47.61,24.4,0.0,40.337,14.18,0.658,-0.991
45000,-38.93,11.52,0.0,nan,8.84,0.722,-0.441
60000,-37.84,14.28,0.0,22.703,8.61,0.73,1.289
75000,-37.54,11.07,0.0,nan,8.73,0.732,4.375
90000,-36.93,11.68,0.0,nan,8.2,0.752,7.054
105000,-41.65,11.84,0.0,nan,7.35,0.77,10.265
120000,-44.08,15.99,0.0,nan,12.52,0.657,13.754
135000,-40.01,7.54,0.0,nan,9.04,0.726,17.555
150000,-34.54,8.76,0.0,nan,12.11,0.66,20.898
165000,-50.08,6.16,0.0,nan,21.56,0.482,24.32
180000,-45.33,7.34,0.0,nan,22.37,0.456,28.168
195000,-44.26,8.56,0.0,nan,25.55,0.397,33.068
210000,-47.79,12.47,0.0,nan,20.85,0.488,37.206
225000,-27.56,80.67,0.1,1.743,24.62,0.424,40.104
240000,-42.16,12.43,0.0,nan,22.24,0.497,41.395
255000,-33.4,4.96,0.0,nan,26.1,0.41,42.536
270000,-34.69,12.13,0.0,34.255,20.5,0.526,43.56
285000,-33.92,5.95,0.0,nan,24.12,0.457,43.862
300000,-35.93,9.01,0.0,nan,22.0,0.495,44.343
300000,-32.99,4.83,0.0,nan,26.1,0.412,44.173
