timesteps,mean_return,std_return,success_rate,mean_miss,flight_time,battery_left,mean_q
0,-188.62,244.18,0.0,nan,62.0,0.894,0.168
16668,-701.71,307.0,0.0,nan,28.78,0.8,0.046
33332,-192.13,165.68,0.0,nan,61.69,0.883,0.024
50000,-181.24,78.12,0.0,nan,62.0,0.804,0.007
66664,-101.12,69.58,0.0,2.61,28.17,0.823,0.043
83332,-87.49,49.01,0.0,3.011,31.66,0.806,-0.018
99996,-88.77,197.5,0.0,2.531,40.31,0.875,-0.006
116664,-493.67,326.32,0.0,2.713,46.29,0.807,-0.0
133328,-249.38,185.63,0.0,2.843,58.4,0.795,-0.11
149996,-380.39,376.84,0.0,3.162,40.61,0.813,-0.053
166660,-315.63,459.66,0.1,2.561,54.98,0.779,-0.001
183328,-36.35,55.26,0.0,3.49,35.68,0.797,-0.104
199992,90.62,124.91,0.3,5.311,57.41,0.722,-0.091
200000,63.89,119.3,0.2,5.642,55.96,0.748,-0.07
